"code";"classe";"groupe";"division";"industry";"section";"label_fr"
"32.40Z";"32.40";"32.4";"32";"C31_32";"C";"Fabrication de jeux et jouets"
"32.50A";"32.50";"32.5";"32";"C31_32";"C";"Fabrication de matériel médico-chirurgical et dentaire"
"32.50B";"32.50";"32.5";"32";"C31_32";"C";"Fabrication de lunettes"
"32.91Z";"32.91";"32.9";"32";"C31_32";"C";"Fabrication d'articles de brosserie"
"32.99Z";"32.99";"32.9";"32";"C31_32";"C";"Autres activités manufacturières n.c.a."
"33.11Z";"33.11";"33.1";"33";"C33";"C";"Réparation d'ouvrages en métaux"
"33.12Z";"33.12";"33.1";"33";"C33";"C";"Réparation de machines et équipements mécaniques"
"33.13Z";"33.13";"33.1";"33";"C33";"C";"Réparation de matériels électroniques et optiques"
"33.14Z";"33.14";"33.1";"33";"C33";"C";"Réparation d'équipements électriques"
"33.15Z";"33.15";"33.1";"33";"C33";"C";"Réparation et maintenance navale"
"33.16Z";"33.16";"33.1";"33";"C33";"C";"Réparation et maintenance d'aéronefs et d'engins spatiaux"
"33.17Z";"33.17";"33.1";"33";"C33";"C";"Réparation et maintenance d'autres équipements de transport"
"33.19Z";"33.19";"33.1";"33";"C33";"C";"Réparation d'autres équipements"
"33.20A";"33.20";"33.2";"33";"C33";"C";"Installation de structures métalliques, chaudronnées et de tuyauterie"
"33.20B";"33.20";"33.2";"33";"C33";"C";"Installation de machines et équipements mécaniques"
"33.20C";"33.20";"33.2";"33";"C33";"C";"Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels"
"33.20D";"33.20";"33.2";"33";"C33";"C";"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels"
"35.11Z";"35.11";"35.1";"35";"D35";"D";"Production d'électricité"
"35.12Z";"35.12";"35.1";"35";"D35";"D";"Transport d'électricité"
"35.13Z";"35.13";"35.1";"35";"D35";"D";"Distribution d'électricité"
"35.14Z";"35.14";"35.1";"35";"D35";"D";"Commerce d'électricité"
"35.21Z";"35.21";"35.2";"35";"D35";"D";"Production de combustibles gazeux"
"35.22Z";"35.22";"35.2";"35";"D35";"D";"Distribution de combustibles gazeux par conduites"
"35.23Z";"35.23";"35.2";"35";"D35";"D";"Commerce de combustibles gazeux par conduites"
"35.30Z";"35.30";"35.3";"35";"D35";"D";"Production et distribution de vapeur et d'air conditionné"
"36.00Z";"36.00";"36.0";"36";"E36";"E";"Captage, traitement et distribution d'eau"
"37.00Z";"37.00";"37.0";"37";"E37T39";"E";"Collecte et traitement des eaux usées"
"38.11Z";"38.11";"38.1";"38";"E37T39";"E";"Collecte des déchets non dangereux"
"38.12Z";"38.12";"38.1";"38";"E37T39";"E";"Collecte des déchets dangereux"
"38.21Z";"38.21";"38.2";"38";"E37T39";"E";"Traitement et élimination des déchets non dangereux"
"38.22Z";"38.22";"38.2";"38";"E37T39";"E";"Traitement et élimination des déchets dangereux"
"38.31Z";"38.31";"38.3";"38";"E37T39";"E";"Démantèlement d'épaves"
"38.32Z";"38.32";"38.3";"38";"E37T39";"E";"Récupération de déchets triés"
"39.00Z";"39.00";"39.0";"39";"E37T39";"E";"Dépollution et autres services de gestion des déchets"
"41.10A";"41.10";"41.1";"41";"F";"F";"Promotion immobilière de logements"
"41.10B";"41.10";"41.1";"41";"F";"F";"Promotion immobilière de bureaux"
"41.10C";"41.10";"41.1";"41";"F";"F";"Promotion immobilière d'autres bâtiments"
"41.10D";"41.10";"41.1";"41";"F";"F";"Supports juridiques de programmes"
"41.20A";"41.20";"41.2";"41";"F";"F";"Construction de maisons individuelles"
"41.20B";"41.20";"41.2";"41";"F";"F";"Construction d'autres bâtiments"
"42.11Z";"42.11";"42.1";"42";"F";"F";"Construction de routes et autoroutes"
"42.12Z";"42.12";"42.1";"42";"F";"F";"Construction de voies ferrées de surface et souterraines"
"42.13A";"42.13";"42.1";"42";"F";"F";"Construction d'ouvrages d'art"
"42.13B";"42.13";"42.1";"42";"F";"F";"Construction et entretien de tunnels"
"42.21Z";"42.21";"42.2";"42";"F";"F";"Construction de réseaux pour fluides"
"42.22Z";"42.22";"42.2";"42";"F";"F";"Construction de réseaux électriques et de télécommunications"
"42.91Z";"42.91";"42.9";"42";"F";"F";"Construction d'ouvrages maritimes et fluviaux"
"42.99Z";"42.99";"42.9";"42";"F";"F";"Construction d'autres ouvrages de génie civil n.c.a."
"43.11Z";"43.11";"43.1";"43";"F";"F";"Travaux de démolition"
"43.12A";"43.12";"43.1";"43";"F";"F";"Travaux de terrassement courants et travaux préparatoires"
"43.12B";"43.12";"43.1";"43";"F";"F";"Travaux de terrassement spécialisés ou de grande masse"
"43.13Z";"43.13";"43.1";"43";"F";"F";"Forages et sondages"
"43.21A";"43.21";"43.2";"43";"F";"F";"Travaux d'installation électrique dans tous locaux"
"43.21B";"43.21";"43.2";"43";"F";"F";"Travaux d'installation électrique sur la voie publique"
"43.22A";"43.22";"43.2";"43";"F";"F";"Travaux d'installation d'eau et de gaz en tous locaux"
"43.22B";"43.22";"43.2";"43";"F";"F";"Travaux d'installation d'équipements thermiques et de climatisation"
"43.29A";"43.29";"43.2";"43";"F";"F";"Travaux d'isolation"
"43.29B";"43.29";"43.2";"43";"F";"F";"Autres travaux d'installation n.c.a."
"43.31Z";"43.31";"43.3";"43";"F";"F";"Travaux de plâtrerie"
"43.32A";"43.32";"43.3";"43";"F";"F";"Travaux de menuiserie bois et PVC"
"43.32B";"43.32";"43.3";"43";"F";"F";"Travaux de menuiserie métallique et serrurerie"
"43.32C";"43.32";"43.3";"43";"F";"F";"Agencement de lieux de vente"
"43.33Z";"43.33";"43.3";"43";"F";"F";"Travaux de revêtement des sols et des murs"
"43.34Z";"43.34";"43.3";"43";"F";"F";"Travaux de peinture et vitrerie"
"43.39Z";"43.39";"43.3";"43";"F";"F";"Autres travaux de finition"
"43.91A";"43.91";"43.9";"43";"F";"F";"Travaux de charpente"
"43.91B";"43.91";"43.9";"43";"F";"F";"Travaux de couverture par éléments"
"43.99A";"43.99";"43.9";"43";"F";"F";"Travaux d'étanchéification"
"43.99B";"43.99";"43.9";"43";"F";"F";"Travaux de montage de structures métalliques"
"43.99C";"43.99";"43.9";"43";"F";"F";"Travaux de maçonnerie générale et gros œuvre de bâtiment"
"43.99D";"43.99";"43.9";"43";"F";"F";"Autres travaux spécialisés de construction"
"43.99E";"43.99";"43.9";"43";"F";"F";"Location avec opérateur de matériel de construction"
"45.11Z";"45.11";"45.1";"45";"G45";"G";"Commerce de voitures et de véhicules automobiles légers"
"45.19Z";"45.19";"45.1";"45";"G45";"G";"Commerce d'autres véhicules automobiles"
"45.20A";"45.20";"45.2";"45";"G45";"G";"Entretien et réparation de véhicules automobiles légers"
"45.20B";"45.20";"45.2";"45";"G45";"G";"Entretien et réparation d'autres véhicules automobiles"
"45.31Z";"45.31";"45.3";"45";"G45";"G";"Commerce de gros d'équipements automobiles"
"45.32Z";"45.32";"45.3";"45";"G45";"G";"Commerce de détail d'équipements automobiles"
"45.40Z";"45.40";"45.4";"45";"G45";"G";"Commerce et réparation de motocycles"
"46.11Z";"46.11";"46.1";"46";"G46";"G";"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et pr…"
"46.12A";"46.12";"46.1";"46";"G46";"G";"Centrales d'achat de carburant"
"46.12B";"46.12";"46.1";"46";"G46";"G";"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques"
"46.13Z";"46.13";"46.1";"46";"G46";"G";"Intermédiaires du commerce en bois et matériaux de construction"
"46.14Z";"46.14";"46.1";"46";"G46";"G";"Intermédiaires du commerce en machines, équipements industriels, navires et avions"
"46.15Z";"46.15";"46.1";"46";"G46";"G";"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie"
"46.16Z";"46.16";"46.1";"46";"G46";"G";"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir"
"46.17A";"46.17";"46.1";"46";"G46";"G";"Centrales d'achat alimentaires"
"46.17B";"46.17";"46.1";"46";"G46";"G";"Autres intermédiaires du commerce en denrées, boissons et tabac"
"46.18Z";"46.18";"46.1";"46";"G46";"G";"Intermédiaires spécialisés dans le commerce d'autres produits spécifiques"
"46.19A";"46.19";"46.1";"46";"G46";"G";"Centrales d'achat non alimentaires"
"46.19B";"46.19";"46.1";"46";"G46";"G";"Autres intermédiaires du commerce en produits divers"
"46.21Z";"46.21";"46.2";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments …"
"46.22Z";"46.22";"46.2";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de fleurs et plantes"
"46.23Z";"46.23";"46.2";"46";"G46";"G";"Commerce de gros (commerce interentreprises) d'animaux vivants"
"46.24Z";"46.24";"46.2";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de cuirs et peaux"
"46.31Z";"46.31";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de fruits et légumes"
"46.32A";"46.32";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de viandes de boucherie"
"46.32B";"46.32";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de produits à base de viande"
"46.32C";"46.32";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de volailles et gibier"
"46.33Z";"46.33";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles"
"46.34Z";"46.34";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de boissons"
"46.35Z";"46.35";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de produits à base de tabac"
"46.36Z";"46.36";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie"
"46.37Z";"46.37";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices"
"46.38A";"46.38";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques"
"46.38B";"46.38";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) alimentaire spécialisé divers"
"46.39A";"46.39";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de produits surgelés"
"46.39B";"46.39";"46.3";"46";"G46";"G";"Commerce de gros (commerce interentreprises) alimentaire non spécialisé"
"46.41Z";"46.41";"46.4";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de textiles"
"46.42Z";"46.42";"46.4";"46";"G46";"G";"Commerce de gros (commerce interentreprises) d'habillement et de chaussures"
"46.43Z";"46.43";"46.4";"46";"G46";"G";"Commerce de gros (commerce interentreprises) d'appareils électroménagers"
"46.44Z";"46.44";"46.4";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien"
"46.45Z";"46.45";"46.4";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté"
"46.46Z";"46.46";"46.4";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de produits pharmaceutiques"
"46.47Z";"46.47";"46.4";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage"
"46.48Z";"46.48";"46.4";"46";"G46";"G";"Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie"
"46.49Z";"46.49";"46.4";"46";"G46";"G";"Commerce de gros (commerce interentreprises) d'autres biens domestiques"
"46.51Z";"46.51";"46.5";"46";"G46";"G";"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de lo…"
"46.52Z";"46.52";"46.5";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunicat…"
"46.61Z";"46.61";"46.6";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de matériel agricole"
"46.62Z";"46.62";"46.6";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de machines-outils"
"46.63Z";"46.63";"46.6";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil"
"46.64Z";"46.64";"46.6";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement"
"46.65Z";"46.65";"46.6";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de mobilier de bureau"
"46.66Z";"46.66";"46.6";"46";"G46";"G";"Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau"
"46.69A";"46.69";"46.6";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de matériel électrique"
"46.69B";"46.69";"46.6";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers"
"46.69C";"46.69";"46.6";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les serv…"
"46.71Z";"46.71";"46.7";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de combustibles et de produits annexes"
"46.72Z";"46.72";"46.7";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de minerais et métaux"
"46.73A";"46.73";"46.7";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de bois et de matériaux de construction"
"46.73B";"46.73";"46.7";"46";"G46";"G";"Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration"
"46.74A";"46.74";"46.7";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de quincaillerie"
"46.74B";"46.74";"46.7";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage"
"46.75Z";"46.75";"46.7";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de produits chimiques"
"46.76Z";"46.76";"46.7";"46";"G46";"G";"Commerce de gros (commerce interentreprises) d'autres produits intermédiaires"
"46.77Z";"46.77";"46.7";"46";"G46";"G";"Commerce de gros (commerce interentreprises) de déchets et débris"
"46.90Z";"46.90";"46.9";"46";"G46";"G";"Commerce de gros (commerce interentreprises) non spécialisé"
"47.11A";"47.11";"47.1";"47";"G47";"G";"Commerce de détail de produits surgelés"
"47.11B";"47.11";"47.1";"47";"G47";"G";"Commerce d'alimentation générale"
"47.11C";"47.11";"47.1";"47";"G47";"G";"Supérettes"
"47.11D";"47.11";"47.1";"47";"G47";"G";"Supermarchés"
"47.11E";"47.11";"47.1";"47";"G47";"G";"Magasins multi-commerces"
"47.11F";"47.11";"47.1";"47";"G47";"G";"Hypermarchés"
"47.19A";"47.19";"47.1";"47";"G47";"G";"Grands magasins"
"47.19B";"47.19";"47.1";"47";"G47";"G";"Autres commerces de détail en magasin non spécialisé"
"47.21Z";"47.21";"47.2";"47";"G47";"G";"Commerce de détail de fruits et légumes en magasin spécialisé"
"47.22Z";"47.22";"47.2";"47";"G47";"G";"Commerce de détail de viandes et de produits à base de viande en magasin spécialisé"
"47.23Z";"47.23";"47.2";"47";"G47";"G";"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé"
"47.24Z";"47.24";"47.2";"47";"G47";"G";"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé"
"47.25Z";"47.25";"47.2";"47";"G47";"G";"Commerce de détail de boissons en magasin spécialisé"
"47.26Z";"47.26";"47.2";"47";"G47";"G";"Commerce de détail de produits à base de tabac en magasin spécialisé"
"47.29Z";"47.29";"47.2";"47";"G47";"G";"Autres commerces de détail alimentaires en magasin spécialisé"
"47.30Z";"47.30";"47.3";"47";"G47";"G";"Commerce de détail de carburants en magasin spécialisé"
"47.41Z";"47.41";"47.4";"47";"G47";"G";"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
"47.42Z";"47.42";"47.4";"47";"G47";"G";"Commerce de détail de matériels de télécommunication en magasin spécialisé"
"47.43Z";"47.43";"47.4";"47";"G47";"G";"Commerce de détail de matériels audio et vidéo en magasin spécialisé"
"47.51Z";"47.51";"47.5";"47";"G47";"G";"Commerce de détail de textiles en magasin spécialisé"
"47.52A";"47.52";"47.5";"47";"G47";"G";"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)"
"47.52B";"47.52";"47.5";"47";"G47";"G";"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)"
"47.53Z";"47.53";"47.5";"47";"G47";"G";"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé"
"47.54Z";"47.54";"47.5";"47";"G47";"G";"Commerce de détail d'appareils électroménagers en magasin spécialisé"
"47.59A";"47.59";"47.5";"47";"G47";"G";"Commerce de détail de meubles"
"47.59B";"47.59";"47.5";"47";"G47";"G";"Commerce de détail d'autres équipements du foyer"
"47.61Z";"47.61";"47.6";"47";"G47";"G";"Commerce de détail de livres en magasin spécialisé"
"47.62Z";"47.62";"47.6";"47";"G47";"G";"Commerce de détail de journaux et papeterie en magasin spécialisé"
"47.63Z";"47.63";"47.6";"47";"G47";"G";"Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé"
"47.64Z";"47.64";"47.6";"47";"G47";"G";"Commerce de détail d'articles de sport en magasin spécialisé"
"47.65Z";"47.65";"47.6";"47";"G47";"G";"Commerce de détail de jeux et jouets en magasin spécialisé"
"47.71Z";"47.71";"47.7";"47";"G47";"G";"Commerce de détail d'habillement en magasin spécialisé"
"47.72A";"47.72";"47.7";"47";"G47";"G";"Commerce de détail de la chaussure"
"47.72B";"47.72";"47.7";"47";"G47";"G";"Commerce de détail de maroquinerie et d'articles de voyage"
"47.73Z";"47.73";"47.7";"47";"G47";"G";"Commerce de détail de produits pharmaceutiques en magasin spécialisé"
"47.74Z";"47.74";"47.7";"47";"G47";"G";"Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé"
"47.75Z";"47.75";"47.7";"47";"G47";"G";"Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé"
"47.76Z";"47.76";"47.7";"47";"G47";"G";"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en …"
"47.77Z";"47.77";"47.7";"47";"G47";"G";"Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé"
"47.78A";"47.78";"47.7";"47";"G47";"G";"Commerces de détail d'optique"
"47.78B";"47.78";"47.7";"47";"G47";"G";"Commerces de détail de charbons et combustibles"
"47.78C";"47.78";"47.7";"47";"G47";"G";"Autres commerces de détail spécialisés divers"
"47.79Z";"47.79";"47.7";"47";"G47";"G";"Commerce de détail de biens d'occasion en magasin"
"47.81Z";"47.81";"47.8";"47";"G47";"G";"Commerce de détail alimentaire sur éventaires et marchés"
"47.82Z";"47.82";"47.8";"47";"G47";"G";"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés"
"47.89Z";"47.89";"47.8";"47";"G47";"G";"Autres commerces de détail sur éventaires et marchés"
"47.91A";"47.91";"47.9";"47";"G47";"G";"Vente à distance sur catalogue général"
"47.91B";"47.91";"47.9";"47";"G47";"G";"Vente à distance sur catalogue spécialisé"
"47.99A";"47.99";"47.9";"47";"G47";"G";"Vente à domicile"
"47.99B";"47.99";"47.9";"47";"G47";"G";"Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a."
"49.10Z";"49.10";"49.1";"49";"H49";"H";"Transport ferroviaire interurbain de voyageurs"
"49.20Z";"49.20";"49.2";"49";"H49";"H";"Transports ferroviaires de fret"
"49.31Z";"49.31";"49.3";"49";"H49";"H";"Transports urbains et suburbains de voyageurs"
"49.32Z";"49.32";"49.3";"49";"H49";"H";"Transports de voyageurs par taxis"
"49.39A";"49.39";"49.3";"49";"H49";"H";"Transports routiers réguliers de voyageurs"
"49.39B";"49.39";"49.3";"49";"H49";"H";"Autres transports routiers de voyageurs"
"49.39C";"49.39";"49.3";"49";"H49";"H";"Téléphériques et remontées mécaniques"
"49.41A";"49.41";"49.4";"49";"H49";"H";"Transports routiers de fret interurbains"
"49.41B";"49.41";"49.4";"49";"H49";"H";"Transports routiers de fret de proximité"
"49.41C";"49.41";"49.4";"49";"H49";"H";"Location de camions avec chauffeur"
"49.42Z";"49.42";"49.4";"49";"H49";"H";"Services de déménagement"
"49.50Z";"49.50";"49.5";"49";"H49";"H";"Transports par conduites"
"50.10Z";"50.10";"50.1";"50";"H50";"H";"Transports maritimes et côtiers de passagers"
"50.20Z";"50.20";"50.2";"50";"H50";"H";"Transports maritimes et côtiers de fret"
"50.30Z";"50.30";"50.3";"50";"H50";"H";"Transports fluviaux de passagers"
"50.40Z";"50.40";"50.4";"50";"H50";"H";"Transports fluviaux de fret"
"51.10Z";"51.10";"51.1";"51";"H51";"H";"Transports aériens de passagers"
"51.21Z";"51.21";"51.2";"51";"H51";"H";"Transports aériens de fret"
"51.22Z";"51.22";"51.2";"51";"H51";"H";"Transports spatiaux"
"52.10A";"52.10";"52.1";"52";"H52";"H";"Entreposage et stockage frigorifique"
"52.10B";"52.10";"52.1";"52";"H52";"H";"Entreposage et stockage non frigorifique"
"52.21Z";"52.21";"52.2";"52";"H52";"H";"Services auxiliaires des transports terrestres"
"52.22Z";"52.22";"52.2";"52";"H52";"H";"Services auxiliaires des transports par eau"
"52.23Z";"52.23";"52.2";"52";"H52";"H";"Services auxiliaires des transports aériens"
"52.24A";"52.24";"52.2";"52";"H52";"H";"Manutention portuaire"
"52.24B";"52.24";"52.2";"52";"H52";"H";"Manutention non portuaire"
"52.29A";"52.29";"52.2";"52";"H52";"H";"Messagerie, fret express"
"52.29B";"52.29";"52.2";"52";"H52";"H";"Affrètement et organisation des transports"
"53.10Z";"53.10";"53.1";"53";"H53";"H";"Activités de poste dans le cadre d'une obligation de service universel"
"53.20Z";"53.20";"53.2";"53";"H53";"H";"Autres activités de poste et de courrier"
"55.10Z";"55.10";"55.1";"55";"I";"I";"Hôtels et hébergement similaire"
"55.20Z";"55.20";"55.2";"55";"I";"I";"Hébergement touristique et autre hébergement de courte durée"
"55.30Z";"55.30";"55.3";"55";"I";"I";"Terrains de camping et parcs pour caravanes ou véhicules de loisirs"
"55.90Z";"55.90";"55.9";"55";"I";"I";"Autres hébergements"
"56.10A";"56.10";"56.1";"56";"I";"I";"Restauration traditionnelle"
"56.10B";"56.10";"56.1";"56";"I";"I";"Cafétérias et autres libres-services"
"56.10C";"56.10";"56.1";"56";"I";"I";"Restauration de type rapide"
"56.21Z";"56.21";"56.2";"56";"I";"I";"Services des traiteurs"
"56.29A";"56.29";"56.2";"56";"I";"I";"Restauration collective sous contrat"
"56.29B";"56.29";"56.2";"56";"I";"I";"Autres services de restauration n.c.a."
"56.30Z";"56.30";"56.3";"56";"I";"I";"Débits de boissons"
"58.11Z";"58.11";"58.1";"58";"J58";"J";"Édition de livres"
"58.12Z";"58.12";"58.1";"58";"J58";"J";"Édition de répertoires et de fichiers d'adresses"
"58.13Z";"58.13";"58.1";"58";"J58";"J";"Édition de journaux"
"58.14Z";"58.14";"58.1";"58";"J58";"J";"Édition de revues et périodiques"
"58.19Z";"58.19";"58.1";"58";"J58";"J";"Autres activités d'édition"
"58.21Z";"58.21";"58.2";"58";"J58";"J";"Édition de jeux électroniques"
"58.29A";"58.29";"58.2";"58";"J58";"J";"Édition de logiciels système et de réseau"
"58.29B";"58.29";"58.2";"58";"J58";"J";"Édition de logiciels outils de développement et de langages"
"58.29C";"58.29";"58.2";"58";"J58";"J";"Édition de logiciels applicatifs"
"59.11A";"59.11";"59.1";"59";"J59_60";"J";"Production de films et de programmes pour la télévision"
"59.11B";"59.11";"59.1";"59";"J59_60";"J";"Production de films institutionnels et publicitaires"
"59.11C";"59.11";"59.1";"59";"J59_60";"J";"Production de films pour le cinéma"
"59.12Z";"59.12";"59.1";"59";"J59_60";"J";"Post-production de films cinématographiques, de vidéo et de programmes de télévision"
"59.13A";"59.13";"59.1";"59";"J59_60";"J";"Distribution de films cinématographiques"
"59.13B";"59.13";"59.1";"59";"J59_60";"J";"Édition et distribution vidéo"
"59.14Z";"59.14";"59.1";"59";"J59_60";"J";"Projection de films cinématographiques"
"59.20Z";"59.20";"59.2";"59";"J59_60";"J";"Enregistrement sonore et édition musicale"
"60.10Z";"60.10";"60.1";"60";"J59_60";"J";"Édition et diffusion de programmes radio"
"60.20A";"60.20";"60.2";"60";"J59_60";"J";"Édition de chaînes généralistes"
"60.20B";"60.20";"60.2";"60";"J59_60";"J";"Édition de chaînes thématiques"
"61.10Z";"61.10";"61.1";"61";"J61";"J";"Télécommunications filaires"
"61.20Z";"61.20";"61.2";"61";"J61";"J";"Télécommunications sans fil"
"61.30Z";"61.30";"61.3";"61";"J61";"J";"Télécommunications par satellite"
"61.90Z";"61.90";"61.9";"61";"J61";"J";"Autres activités de télécommunication"
"62.01Z";"62.01";"62.0";"62";"J62_63";"J";"Programmation informatique"
"62.02A";"62.02";"62.0";"62";"J62_63";"J";"Conseil en systèmes et logiciels informatiques"
"62.02B";"62.02";"62.0";"62";"J62_63";"J";"Tierce maintenance de systèmes et d'applications informatiques"
"62.03Z";"62.03";"62.0";"62";"J62_63";"J";"Gestion d'installations informatiques"
"62.09Z";"62.09";"62.0";"62";"J62_63";"J";"Autres activités informatiques"
"63.11Z";"63.11";"63.1";"63";"J62_63";"J";"Traitement de données, hébergement et activités connexes"
"63.12Z";"63.12";"63.1";"63";"J62_63";"J";"Portails Internet"
"63.91Z";"63.91";"63.9";"63";"J62_63";"J";"Activités des agences de presse"
"63.99Z";"63.99";"63.9";"63";"J62_63";"J";"Autres services d'information n.c.a."
"64.11Z";"64.11";"64.1";"64";"K64";"K";"Activités de banque centrale"
"64.19Z";"64.19";"64.1";"64";"K64";"K";"Autres intermédiations monétaires"
"64.20Z";"64.20";"64.2";"64";"K64";"K";"Activités des sociétés holding"
"64.30Z";"64.30";"64.3";"64";"K64";"K";"Fonds de placement et entités financières similaires"
"64.91Z";"64.91";"64.9";"64";"K64";"K";"Crédit-bail"
"64.92Z";"64.92";"64.9";"64";"K64";"K";"Autre distribution de crédit"
"64.99Z";"64.99";"64.9";"64";"K64";"K";"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a."
"65.11Z";"65.11";"65.1";"65";"K65";"K";"Assurance vie"
"65.12Z";"65.12";"65.1";"65";"K65";"K";"Autres assurances"
"65.20Z";"65.20";"65.2";"65";"K65";"K";"Réassurance"
"65.30Z";"65.30";"65.3";"65";"K65";"K";"Caisses de retraite"
"66.11Z";"66.11";"66.1";"66";"K66";"K";"Administration de marchés financiers"
"66.12Z";"66.12";"66.1";"66";"K66";"K";"Courtage de valeurs mobilières et de marchandises"
"66.19A";"66.19";"66.1";"66";"K66";"K";"Supports juridiques de gestion de patrimoine mobilier"
"66.19B";"66.19";"66.1";"66";"K66";"K";"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a."
"66.21Z";"66.21";"66.2";"66";"K66";"K";"Évaluation des risques et dommages"
"66.22Z";"66.22";"66.2";"66";"K66";"K";"Activités des agents et courtiers d'assurances"
"66.29Z";"66.29";"66.2";"66";"K66";"K";"Autres activités auxiliaires d'assurance et de caisses de retraite"
"66.30Z";"66.30";"66.3";"66";"K66";"K";"Gestion de fonds"
"68.10Z";"68.10";"68.1";"68";"L";"L";"Activités des marchands de biens immobiliers"
"68.20A";"68.20";"68.2";"68";"L";"L";"Location de logements"
"68.20B";"68.20";"68.2";"68";"L";"L";"Location de terrains et d'autres biens immobiliers"
"68.31Z";"68.31";"68.3";"68";"L";"L";"Agences immobilières"
"68.32A";"68.32";"68.3";"68";"L";"L";"Administration d'immeubles et autres biens immobiliers"
"68.32B";"68.32";"68.3";"68";"L";"L";"Supports juridiques de gestion de patrimoine immobilier"
"69.10Z";"69.10";"69.1";"69";"M69_70";"M";"Activités juridiques"
"69.20Z";"69.20";"69.2";"69";"M69_70";"M";"Activités comptables"
"70.10Z";"70.10";"70.1";"70";"M69_70";"M";"Activités des sièges sociaux"
