"code";"classe";"groupe";"division";"industry";"section";"label_fr"
"10.39A";"10.39";"10.3";"10";"C10T12";"C";"Autre transformation et conservation de légumes"
"10.39B";"10.39";"10.3";"10";"C10T12";"C";"Transformation et conservation de fruits"
"10.41A";"10.41";"10.4";"10";"C10T12";"C";"Fabrication d'huiles et graisses brutes"
"10.41B";"10.41";"10.4";"10";"C10T12";"C";"Fabrication d'huiles et graisses raffinées"
"10.42Z";"10.42";"10.4";"10";"C10T12";"C";"Fabrication de margarine et graisses comestibles similaires"
"10.51A";"10.51";"10.5";"10";"C10T12";"C";"Fabrication de lait liquide et de produits frais"
"10.51B";"10.51";"10.5";"10";"C10T12";"C";"Fabrication de beurre"
"10.51C";"10.51";"10.5";"10";"C10T12";"C";"Fabrication de fromage"
"10.51D";"10.51";"10.5";"10";"C10T12";"C";"Fabrication d'autres produits laitiers"
"10.52Z";"10.52";"10.5";"10";"C10T12";"C";"Fabrication de glaces et sorbets"
"10.61A";"10.61";"10.6";"10";"C10T12";"C";"Meunerie"
"10.61B";"10.61";"10.6";"10";"C10T12";"C";"Autres activités du travail des grains"
"10.62Z";"10.62";"10.6";"10";"C10T12";"C";"Fabrication de produits amylacés"
"10.71A";"10.71";"10.7";"10";"C10T12";"C";"Fabrication industrielle de pain et de pâtisserie fraîche"
"10.71B";"10.71";"10.7";"10";"C10T12";"C";"Cuisson de produits de boulangerie"
"10.71C";"10.71";"10.7";"10";"C10T12";"C";"Boulangerie et boulangerie-pâtisserie"
"10.71D";"10.71";"10.7";"10";"C10T12";"C";"Pâtisserie"
"10.72Z";"10.72";"10.7";"10";"C10T12";"C";"Fabrication de biscuits, biscottes et pâtisseries de conservation"
"10.73Z";"10.73";"10.7";"10";"C10T12";"C";"Fabrication de pâtes alimentaires"
"10.81Z";"10.81";"10.8";"10";"C10T12";"C";"Fabrication de sucre"
"10.82Z";"10.82";"10.8";"10";"C10T12";"C";"Fabrication de cacao, chocolat et de produits de confiserie"
"10.83Z";"10.83";"10.8";"10";"C10T12";"C";"Transformation du thé et du café"
"10.84Z";"10.84";"10.8";"10";"C10T12";"C";"Fabrication de condiments et assaisonnements"
"10.85Z";"10.85";"10.8";"10";"C10T12";"C";"Fabrication de plats préparés"
"10.86Z";"10.86";"10.8";"10";"C10T12";"C";"Fabrication d'aliments homogénéisés et diététiques"
"10.89Z";"10.89";"10.8";"10";"C10T12";"C";"Fabrication d'autres produits alimentaires n.c.a."
"10.91Z";"10.91";"10.9";"10";"C10T12";"C";"Fabrication d'aliments pour animaux de ferme"
"10.92Z";"10.92";"10.9";"10";"C10T12";"C";"Fabrication d'aliments pour animaux de compagnie"
"11.01Z";"11.01";"11.0";"11";"C10T12";"C";"Production de boissons alcooliques distillées"
"11.02A";"11.02";"11.0";"11";"C10T12";"C";"Fabrication de vins effervescents"
"11.02B";"11.02";"11.0";"11";"C10T12";"C";"Vinification"
"11.03Z";"11.03";"11.0";"11";"C10T12";"C";"Fabrication de cidre et de vins de fruits"
"11.04Z";"11.04";"11.0";"11";"C10T12";"C";"Production d'autres boissons fermentées non distillées"
"11.05Z";"11.05";"11.0";"11";"C10T12";"C";"Fabrication de bière"
"11.06Z";"11.06";"11.0";"11";"C10T12";"C";"Fabrication de malt"
"11.07A";"11.07";"11.0";"11";"C10T12";"C";"Industrie des eaux de table"
"11.07B";"11.07";"11.0";"11";"C10T12";"C";"Production de boissons rafraîchissantes"
"12.00Z";"12.00";"12.0";"12";"C10T12";"C";"Fabrication de produits à base de tabac"
"13.10Z";"13.10";"13.1";"13";"C13T15";"C";"Préparation de fibres textiles et filature"
"13.20Z";"13.20";"13.2";"13";"C13T15";"C";"Tissage"
"13.30Z";"13.30";"13.3";"13";"C13T15";"C";"Ennoblissement textile"
"13.91Z";"13.91";"13.9";"13";"C13T15";"C";"Fabrication d'étoffes à mailles"
"13.92Z";"13.92";"13.9";"13";"C13T15";"C";"Fabrication d'articles textiles, sauf habillement"
"13.93Z";"13.93";"13.9";"13";"C13T15";"C";"Fabrication de tapis et moquettes"
"13.94Z";"13.94";"13.9";"13";"C13T15";"C";"Fabrication de ficelles, cordes et filets"
"13.95Z";"13.95";"13.9";"13";"C13T15";"C";"Fabrication de non-tissés, sauf habillement"
"13.96Z";"13.96";"13.9";"13";"C13T15";"C";"Fabrication d'autres textiles techniques et industriels"
