"code_ape_a732";"label_ape_a732";"code_eeio_dk";"label_eeio_dk";"flag_mapping_a732";"accuracy_mapping_a732"
"10.71C";"Boulangerie et boulangerie-pâtisseri";"100040";"Manufacture of grain mill and bakery products";"";2
"10.71D";"Pâtisseri";"100040";"Manufacture of grain mill and bakery products";"";2
"10.72Z";"Fabrication de biscuits, biscottes et pâtisseries de conservatio";"100040";"Manufacture of grain mill and bakery products";"";2
"10.73Z";"Fabrication de pâtes alimentaire";"100040";"Manufacture of grain mill and bakery products";"";2
"10.81Z";"Fabrication de sucre";"100050";"Other manufacture of food products";"d";3
"10.82Z";"Fabrication de cacao, chocolat et de produits de confiserie";"100050";"Other manufacture of food products";"d";3
"10.83Z";"Transformation du thé et du caf";"100050";"Other manufacture of food products";"d";3
"10.84Z";"Fabrication de condiments et assaisonnements";"100050";"Other manufacture of food products";"d";3
"10.85Z";"Fabrication de plats prépar";"100050";"Other manufacture of food products";"d";3
"10.86Z";"Fabrication d'aliments homogénéisés et diétét";"100050";"Other manufacture of food products";"d";3
"10.89Z";"Fabrication d'autres produits alimentaires n.c.a.";"100050";"Other manufacture of food products";"d";3
"10.91Z";"Fabrication d'aliments pour animaux de ferme";"100050";"Other manufacture of food products";"d";3
"10.92Z";"Fabrication d'aliments pour animaux de compagnie";"100050";"Other manufacture of food products";"d";3
"11.01Z";"Production de boissons alcooliques distillée";"110000";"Manufacture of beverages";"";4
"11.02A";"Fabrication de vins effervescents";"110000";"Manufacture of beverages";"";4
"11.02B";"Vinification";"110000";"Manufacture of beverages";"";4
"11.03Z";"Fabrication de cidre et de vins de fruits";"110000";"Manufacture of beverages";"";4
"11.04Z";"Production d'autres boissons fermentées non distillé";"110000";"Manufacture of beverages";"";4
"11.05Z";"Fabrication de bièr";"110000";"Manufacture of beverages";"";4
"11.06Z";"Fabrication de malt";"110000";"Manufacture of beverages";"";4
"11.07A";"Industrie des eaux de table";"110000";"Manufacture of beverages";"";4
"11.07B";"Production de boissons rafraîchissante";"110000";"Manufacture of beverages";"";4
"12.00Z";"Fabrication de produits à base de taba";"120000";"Manufacture of tobacco products";"";4
"13.10Z";"Préparation de fibres textiles et filatur";"130000";"Manufacture of textiles";"";4
"13.20Z";"Tissage";"130000";"Manufacture of textiles";"";4
"13.30Z";"Ennoblissement textile";"130000";"Manufacture of textiles";"";4
"13.91Z";"Fabrication d'étoffes à maill";"130000";"Manufacture of textiles";"";4
"13.92Z";"Fabrication d'articles textiles, sauf habillement";"130000";"Manufacture of textiles";"";4
"13.93Z";"Fabrication de tapis et moquettes";"130000";"Manufacture of textiles";"";4
"13.94Z";"Fabrication de ficelles, cordes et filets";"130000";"Manufacture of textiles";"";4
"13.95Z";"Fabrication de non-tissés, sauf habillemen";"130000";"Manufacture of textiles";"";4
"13.96Z";"Fabrication d'autres textiles techniques et industriels";"130000";"Manufacture of textiles";"";4
"13.99Z";"Fabrication d'autres textiles n.c.a.";"130000";"Manufacture of textiles";"";4
"14.11Z";"Fabrication de vêtements en cui";"140000";"Manufacture of wearing apparel";"";4
"14.12Z";"Fabrication de vêtements de travai";"140000";"Manufacture of wearing apparel";"";4
"14.13Z";"Fabrication de vêtements de dessu";"140000";"Manufacture of wearing apparel";"";4
"14.14Z";"Fabrication de vêtements de dessou";"140000";"Manufacture of wearing apparel";"";4
"14.19Z";"Fabrication d'autres vêtements et accessoire";"140000";"Manufacture of wearing apparel";"";4
"14.20Z";"Fabrication d'articles en fourrure";"140000";"Manufacture of wearing apparel";"";4
"14.31Z";"Fabrication d'articles chaussants à maille";"140000";"Manufacture of wearing apparel";"";4
"14.39Z";"Fabrication d'autres articles à maille";"140000";"Manufacture of wearing apparel";"";4
"15.11Z";" préparation et teinture des fourrur";"150000";"Manufacture of leather and footwear";"";4
"15.12Z";"Fabrication d'articles de voyage, de maroquinerie et de sellerie";"150000";"Manufacture of leather and footwear";"";4
"15.20Z";"Fabrication de chaussures";"150000";"Manufacture of leather and footwear";"";4
"16.10A";"Sciage et rabotage du bois, hors imprégnatio";"160000";"Manufacture of wood and wood products";"";4
"16.10B";"Imprégnation du boi";"160000";"Manufacture of wood and wood products";"";4
"16.21Z";"Fabrication de placage et de panneaux de bois";"160000";"Manufacture of wood and wood products";"";4
"16.22Z";"Fabrication de parquets assemblé";"160000";"Manufacture of wood and wood products";"";4
"16.23Z";"Fabrication de charpentes et d'autres menuiseries";"160000";"Manufacture of wood and wood products";"";4
"16.24Z";"Fabrication d'emballages en bois";"160000";"Manufacture of wood and wood products";"";4
"16.29Z";" fabrication d'objets en liège, vannerie et sparteri";"160000";"Manufacture of wood and wood products";"";4
"17.11Z";"Fabrication de pâte à papi";"170000";"Manufacture of paper and paper products";"";4
"17.12Z";"Fabrication de papier et de carton";"170000";"Manufacture of paper and paper products";"";4
"17.21A";"Fabrication de carton ondul";"170000";"Manufacture of paper and paper products";"";4
"17.21B";"Fabrication de cartonnages";"170000";"Manufacture of paper and paper products";"";4
"17.21C";"Fabrication d'emballages en papier";"170000";"Manufacture of paper and paper products";"";4
"17.22Z";"Fabrication d'articles en papier à usage sanitaire ou domestiqu";"170000";"Manufacture of paper and paper products";"";4
"17.23Z";"Fabrication d'articles de papeterie";"170000";"Manufacture of paper and paper products";"";4
"17.24Z";"Fabrication de papiers peints";"170000";"Manufacture of paper and paper products";"";4
"17.29Z";"Fabrication d'autres articles en papier ou en carton";"170000";"Manufacture of paper and paper products";"";4
"18.11Z";"Imprimerie de journaux";"180000";"Printing etc.";"";4
"18.12Z";"Autre imprimerie (labeur)";"180000";"Printing etc.";"";4
"18.13Z";"Activités de pré-pres";"180000";"Printing etc.";"";4
"18.14Z";"Reliure et activités connexe";"180000";"Printing etc.";"";4
"18.20Z";"Reproduction d'enregistrements";"180000";"Printing etc.";"";4
"19.10Z";"Cokéfactio";"190000";"Oil refinery etc.";"";4
