"code_ape_a732";"label_ape_a732";"code_eeio_dk";"label_eeio_dk";"flag_mapping_a732";"accuracy_mapping_a732"
"32.50B";"Fabrication de lunettes";"320010";"Manufacture of medical instruments, etc.";"";2
"32.91Z";"Fabrication d'articles de brosserie";"320020";"Manufacture of toys and other manufacturing";"d";3
"32.99Z";"Autres activités manufacturières n.c.";"320020";"Manufacture of toys and other manufacturing";"d";3
"33.11Z";"Réparation d'ouvrages en méta";"330000";"Repair and installation of machinery and equipment";"";4
"33.12Z";"Réparation de machines et équipements mécaniq";"330000";"Repair and installation of machinery and equipment";"";4
"33.13Z";"Réparation de matériels électroniques et optiq";"330000";"Repair and installation of machinery and equipment";"";4
"33.14Z";"Réparation d'équipements électriq";"330000";"Repair and installation of machinery and equipment";"";4
"33.15Z";"Réparation et maintenance naval";"330000";"Repair and installation of machinery and equipment";"";4
"33.16Z";"Réparation et maintenance d'aéronefs et d'engins spatia";"330000";"Repair and installation of machinery and equipment";"";4
"33.17Z";"Réparation et maintenance d'autres équipements de transpo";"330000";"Repair and installation of machinery and equipment";"";4
"33.19Z";"Réparation d'autres équipemen";"330000";"Repair and installation of machinery and equipment";"";4
"33.20A";"Installation de structures métalliques, chaudronnées et de tuyauter";"330000";"Repair and installation of machinery and equipment";"";4
"33.20B";"Installation de machines et équipements mécaniqu";"330000";"Repair and installation of machinery and equipment";"";4
"33.20C";"Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industrie";"330000";"Repair and installation of machinery and equipment";"";4
"33.20D";"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres maté";"330000";"Repair and installation of machinery and equipment";"";4
"35.11Z";"Production d'électricit";"350010";"Production and distribution of electricity";"";2
"35.12Z";"Transport d'électricit";"350010";"Production and distribution of electricity";"";2
"35.13Z";"Distribution d'électricit";"350010";"Production and distribution of electricity";"";2
"35.14Z";"Commerce d'électricit";"350010";"Production and distribution of electricity";"";2
"35.21Z";"Production de combustibles gazeux";"350020";"Manufacture and distribution of gas";"";2
"35.22Z";"Distribution de combustibles gazeux par conduites";"350020";"Manufacture and distribution of gas";"";2
"35.23Z";"Commerce de combustibles gazeux par conduites";"350020";"Manufacture and distribution of gas";"";2
"35.30Z";"Production et distribution de vapeur et d'air conditionn";"350030";"Steam and hot water supply";"";2
"36.00Z";"Captage, traitement et distribution d'eau";"360000";"Water collection, purification and supply";"";4
"37.00Z";"Collecte et traitement des eaux usée";"370000";"Sewerage";"";4
"38.11Z";"Collecte des déchets non dangereu";"383900";"Waste management and materials recovery";"";4
"38.12Z";"Collecte des déchets dangereu";"383900";"Waste management and materials recovery";"";4
"38.21Z";"Traitement et élimination des déchets non dangere";"383900";"Waste management and materials recovery";"";4
"38.22Z";"Traitement et élimination des déchets dangere";"383900";"Waste management and materials recovery";"";4
"38.31Z";"Démantèlement d'épa";"383900";"Waste management and materials recovery";"";4
"38.32Z";"Récupération de déchets tr";"383900";"Waste management and materials recovery";"";4
"39.00Z";"Dépollution et autres services de gestion des déche";"383900";"Waste management and materials recovery";"";4
"41.10A";"Promotion immobilière de logement";"410009";"Construction of new buildings";"";2
"41.10B";"Promotion immobilière de bureau";"410009";"Construction of new buildings";"";2
"41.10C";"Promotion immobilière d'autres bâtimen";"410009";"Construction of new buildings";"";2
"41.10D";"Supports juridiques de programmes";"410009";"Construction of new buildings";"";2
"41.20A";"Construction de maisons individuelles";"410009";"Construction of new buildings";"";2
"41.20B";"Construction d'autres bâtiment";"410009";"Construction of new buildings";"";2
"42.11Z";"Construction de routes et autoroutes";"420000";"Civil engeneering";"";4
"42.12Z";"Construction de voies ferrées de surface et souterraine";"420000";"Civil engeneering";"";4
"42.13A";"Construction d'ouvrages d'art";"420000";"Civil engeneering";"";4
"42.13B";"Construction et entretien de tunnels";"420000";"Civil engeneering";"";4
"42.21Z";"Construction de réseaux pour fluide";"420000";"Civil engeneering";"";4
"42.22Z";"Construction de réseaux électriques et de télécommunicat";"420000";"Civil engeneering";"";4
"42.91Z";"Construction d'ouvrages maritimes et fluviaux";"420000";"Civil engeneering";"";4
"42.99Z";"Construction d'autres ouvrages de génie civil n.c.a";"420000";"Civil engeneering";"";4
"43.11Z";"Travaux de démolitio";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.12A";"Travaux de terrassement courants et travaux préparatoire";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.12B";"Travaux de terrassement spécialisés ou de grande mas";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.13Z";"Forages et sondages";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.21A";"Travaux d'installation électrique dans tous locau";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.21B";"Travaux d'installation électrique sur la voie publiqu";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.22A";"Travaux d'installation d'eau et de gaz en tous locaux";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.22B";"Travaux d'installation d'équipements thermiques et de climatisatio";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.29A";"Travaux d'isolation";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.29B";"Autres travaux d'installation n.c.a.";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.31Z";"Travaux de plâtreri";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.32A";"Travaux de menuiserie bois et PVC";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.32B";"Travaux de menuiserie métallique et serrureri";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.32C";"Agencement de lieux de vente";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.33Z";"Travaux de revêtement des sols et des mur";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.34Z";"Travaux de peinture et vitrerie";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.39Z";"Autres travaux de finition";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.91A";"Travaux de charpente";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.91B";"Travaux de couverture par élémen";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.99A";"Travaux d'étanchéificati";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.99B";"Travaux de montage de structures métallique";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.99C";"Travaux de maçonnerie générale et gros œuvre de bât";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.99D";"Autres travaux spécialisés de constructi";"430003";"Professionel repair and maintenance of buildings";"d";3
"43.99E";"Location avec opérateur de matériel de constructi";"430003";"Professionel repair and maintenance of buildings";"d";3
"45.11Z";"Commerce de voitures et de véhicules automobiles lége";"450010";"Sale of motor vehicles";"";2
"45.19Z";"Commerce d'autres véhicules automobile";"450010";"Sale of motor vehicles";"";2
"45.20A";"Entretien et réparation de véhicules automobiles lég";"450020";"Repair and maintenance of motor vehicles etc.";"";2
"45.20B";"Entretien et réparation d'autres véhicules automobil";"450020";"Repair and maintenance of motor vehicles etc.";"";2
"45.31Z";"Commerce de gros d'équipements automobile";"450020";"Repair and maintenance of motor vehicles etc.";"";2
"45.32Z";"Commerce de détail d'équipements automobil";"450020";"Repair and maintenance of motor vehicles etc.";"";2
"45.40Z";"Commerce et réparation de motocycle";"450020";"Repair and maintenance of motor vehicles etc.";"";2
"46.11Z";"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles e";"460000";"Wholesale";"";4
"46.12A";"Centrales d'achat de carburant";"460000";"Wholesale";"";4
"46.12B";"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiq";"460000";"Wholesale";"";4
"46.13Z";"Intermédiaires du commerce en bois et matériaux de constructi";"460000";"Wholesale";"";4
"46.14Z";"Intermédiaires du commerce en machines, équipements industriels, navires et avio";"460000";"Wholesale";"";4
"46.15Z";"Intermédiaires du commerce en meubles, articles de ménage et quincailler";"460000";"Wholesale";"";4
"46.16Z";"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cui";"460000";"Wholesale";"";4
"46.17A";"Centrales d'achat alimentaires";"460000";"Wholesale";"";4
"46.17B";"Autres intermédiaires du commerce en denrées, boissons et tab";"460000";"Wholesale";"";4
"46.18Z";"Intermédiaires spécialisés dans le commerce d'autres produits spécifi";"460000";"Wholesale";"";4
"46.19A";"Centrales d'achat non alimentaires";"460000";"Wholesale";"";4
"46.19B";"Autres intermédiaires du commerce en produits diver";"460000";"Wholesale";"";4
"46.21Z";"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliment";"460000";"Wholesale";"";4
"46.22Z";"Commerce de gros (commerce interentreprises) de fleurs et plantes";"460000";"Wholesale";"";4
"46.23Z";"Commerce de gros (commerce interentreprises) d'animaux vivants";"460000";"Wholesale";"";4
"46.24Z";"Commerce de gros (commerce interentreprises) de cuirs et peaux";"460000";"Wholesale";"";4
"46.31Z";"Commerce de gros (commerce interentreprises) de fruits et légume";"460000";"Wholesale";"";4
"46.32A";"Commerce de gros (commerce interentreprises) de viandes de boucherie";"460000";"Wholesale";"";4
"46.32B";"Commerce de gros (commerce interentreprises) de produits à base de viand";"460000";"Wholesale";"";4
"46.32C";"Commerce de gros (commerce interentreprises) de volailles et gibier";"460000";"Wholesale";"";4
"46.33Z";"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibl";"460000";"Wholesale";"";4
"46.34Z";"Commerce de gros (commerce interentreprises) de boissons";"460000";"Wholesale";"";4
"46.35Z";"Commerce de gros (commerce interentreprises) de produits à base de taba";"460000";"Wholesale";"";4
"46.36Z";"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie";"460000";"Wholesale";"";4
"46.37Z";"Commerce de gros (commerce interentreprises) de café, thé, cacao et épi";"460000";"Wholesale";"";4
"46.38A";"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusque";"460000";"Wholesale";"";4
"46.38B";"Commerce de gros (commerce interentreprises) alimentaire spécialisé dive";"460000";"Wholesale";"";4
"46.39A";"Commerce de gros (commerce interentreprises) de produits surgelé";"460000";"Wholesale";"";4
"46.39B";"Commerce de gros (commerce interentreprises) alimentaire non spécialis";"460000";"Wholesale";"";4
"46.41Z";"Commerce de gros (commerce interentreprises) de textiles";"460000";"Wholesale";"";4
"46.42Z";"Commerce de gros (commerce interentreprises) d'habillement et de chaussures";"460000";"Wholesale";"";4
"46.43Z";"Commerce de gros (commerce interentreprises) d'appareils électroménage";"460000";"Wholesale";"";4
"46.44Z";"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien";"460000";"Wholesale";"";4
"46.45Z";"Commerce de gros (commerce interentreprises) de parfumerie et de produits de beaut";"460000";"Wholesale";"";4
"46.46Z";"Commerce de gros (commerce interentreprises) de produits pharmaceutiques";"460000";"Wholesale";"";4
"46.47Z";"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairag";"460000";"Wholesale";"";4
"46.48Z";"Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie";"460000";"Wholesale";"";4
"46.49Z";"Commerce de gros (commerce interentreprises) d'autres biens domestiques";"460000";"Wholesale";"";4
"46.51Z";"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de";"460000";"Wholesale";"";4
"46.52Z";"Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommuni";"460000";"Wholesale";"";4
"46.61Z";"Commerce de gros (commerce interentreprises) de matériel agricol";"460000";"Wholesale";"";4
"46.62Z";"Commerce de gros (commerce interentreprises) de machines-outils";"460000";"Wholesale";"";4
"46.63Z";"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civi";"460000";"Wholesale";"";4
"46.64Z";"Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement";"460000";"Wholesale";"";4
"46.65Z";"Commerce de gros (commerce interentreprises) de mobilier de bureau";"460000";"Wholesale";"";4
"46.66Z";"Commerce de gros (commerce interentreprises) d'autres machines et équipements de burea";"460000";"Wholesale";"";4
"46.69A";"Commerce de gros (commerce interentreprises) de matériel électriq";"460000";"Wholesale";"";4
"46.69B";"Commerce de gros (commerce interentreprises) de fournitures et équipements industriels diver";"460000";"Wholesale";"";4
"46.69C";"Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les serv";"460000";"Wholesale";"";4
"46.71Z";"Commerce de gros (commerce interentreprises) de combustibles et de produits annexes";"460000";"Wholesale";"";4
"46.72Z";"Commerce de gros (commerce interentreprises) de minerais et métau";"460000";"Wholesale";"";4
"46.73A";"Commerce de gros (commerce interentreprises) de bois et de matériaux de constructio";"460000";"Wholesale";"";4
"46.73B";"Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoratio";"460000";"Wholesale";"";4
"46.74A";"Commerce de gros (commerce interentreprises) de quincaillerie";"460000";"Wholesale";"";4
"46.74B";"Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage";"460000";"Wholesale";"";4
"46.75Z";"Commerce de gros (commerce interentreprises) de produits chimiques";"460000";"Wholesale";"";4
"46.76Z";"Commerce de gros (commerce interentreprises) d'autres produits intermédiaire";"460000";"Wholesale";"";4
"46.77Z";"Commerce de gros (commerce interentreprises) de déchets et débr";"460000";"Wholesale";"";4
"46.90Z";"Commerce de gros (commerce interentreprises) non spécialis";"460000";"Wholesale";"";4
"47.11A";"Commerce de détail de produits surgel";"470000";"Retail sale";"";4
"47.11B";"Commerce d'alimentation généra";"470000";"Retail sale";"";4
"47.11C";"Supérette";"470000";"Retail sale";"";4
"47.11D";"Supermarché";"470000";"Retail sale";"";4
"47.11E";"Magasins multi-commerces";"470000";"Retail sale";"";4
"47.11F";"Hypermarché";"470000";"Retail sale";"";4
"47.19A";"Grands magasins";"470000";"Retail sale";"";4
"47.19B";"Autres commerces de détail en magasin non spéciali";"470000";"Retail sale";"";4
"47.21Z";"Commerce de détail de fruits et légumes en magasin spécial";"470000";"Retail sale";"";4
"47.22Z";"Commerce de détail de viandes et de produits à base de viande en magasin spécial";"470000";"Retail sale";"";4
"47.23Z";"Commerce de détail de poissons, crustacés et mollusques en magasin spécial";"470000";"Retail sale";"";4
"47.24Z";"Commerce de détail de pain, pâtisserie et confiserie en magasin spécial";"470000";"Retail sale";"";4
"47.25Z";"Commerce de détail de boissons en magasin spéciali";"470000";"Retail sale";"";4
"47.26Z";"Commerce de détail de produits à base de tabac en magasin spécial";"470000";"Retail sale";"";4
"47.29Z";"Autres commerces de détail alimentaires en magasin spéciali";"470000";"Retail sale";"";4
"47.30Z";"Commerce de détail de carburants en magasin spéciali";"470000";"Retail sale";"";4
"47.41Z";"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spéci";"470000";"Retail sale";"";4
"47.42Z";"Commerce de détail de matériels de télécommunication en magasin spéci";"470000";"Retail sale";"";4
"47.43Z";"Commerce de détail de matériels audio et vidéo en magasin spécia";"470000";"Retail sale";"";4
"47.51Z";"Commerce de détail de textiles en magasin spéciali";"470000";"Retail sale";"";4
"47.52A";"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m";"470000";"Retail sale";"";4
"47.52B";"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plu";"470000";"Retail sale";"";4
"47.53Z";"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécial";"470000";"Retail sale";"";4
"47.54Z";"Commerce de détail d'appareils électroménagers en magasin spécia";"470000";"Retail sale";"";4
"47.59A";"Commerce de détail de meuble";"470000";"Retail sale";"";4
"47.59B";"Commerce de détail d'autres équipements du foy";"470000";"Retail sale";"";4
"47.61Z";"Commerce de détail de livres en magasin spéciali";"470000";"Retail sale";"";4
"47.62Z";"Commerce de détail de journaux et papeterie en magasin spéciali";"470000";"Retail sale";"";4
"47.63Z";"Commerce de détail d'enregistrements musicaux et vidéo en magasin spécial";"470000";"Retail sale";"";4
"47.64Z";"Commerce de détail d'articles de sport en magasin spéciali";"470000";"Retail sale";"";4
"47.65Z";"Commerce de détail de jeux et jouets en magasin spéciali";"470000";"Retail sale";"";4
"47.71Z";"Commerce de détail d'habillement en magasin spéciali";"470000";"Retail sale";"";4
"47.72A";"Commerce de détail de la chaussur";"470000";"Retail sale";"";4
"47.72B";"Commerce de détail de maroquinerie et d'articles de voyag";"470000";"Retail sale";"";4
"47.73Z";"Commerce de détail de produits pharmaceutiques en magasin spéciali";"470000";"Retail sale";"";4
"47.74Z";"Commerce de détail d'articles médicaux et orthopédiques en magasin spécia";"470000";"Retail sale";"";4
"47.75Z";"Commerce de détail de parfumerie et de produits de beauté en magasin spécial";"470000";"Retail sale";"";4
"47.76Z";"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en";"470000";"Retail sale";"";4
"47.77Z";"Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spéciali";"470000";"Retail sale";"";4
"47.78A";"Commerces de détail d'optiqu";"470000";"Retail sale";"";4
"47.78B";"Commerces de détail de charbons et combustible";"470000";"Retail sale";"";4
"47.78C";"Autres commerces de détail spécialisés div";"470000";"Retail sale";"";4
"47.79Z";"Commerce de détail de biens d'occasion en magasi";"470000";"Retail sale";"";4
"47.81Z";"Commerce de détail alimentaire sur éventaires et march";"470000";"Retail sale";"";4
"47.82Z";"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et march";"470000";"Retail sale";"";4
"47.89Z";"Autres commerces de détail sur éventaires et march";"470000";"Retail sale";"";4
"47.91A";"Vente à distance sur catalogue géné";"470000";"Retail sale";"";4
"47.91B";"Vente à distance sur catalogue spéciali";"470000";"Retail sale";"";4
"47.99A";"Vente à domicil";"470000";"Retail sale";"";4
"47.99B";"Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c";"470000";"Retail sale";"";4
"49.10Z";"Transport ferroviaire interurbain de voyageurs";"490010";"Passenger rail transport, interurban";"";2
"49.20Z";"Transports ferroviaires de fret";"490030";"Freight transport by road and via pipeline";"";2
"49.31Z";"Transports urbains et suburbains de voyageurs";"490020";"Transport by suburban trains, buses and taxi operation, etc.";"";2
"49.32Z";"Transports de voyageurs par taxis";"490020";"Transport by suburban trains, buses and taxi operation, etc.";"";2
"49.39A";"Transports routiers réguliers de voyageur";"490020";"Transport by suburban trains, buses and taxi operation, etc.";"";2
"49.39B";"Autres transports routiers de voyageurs";"490020";"Transport by suburban trains, buses and taxi operation, etc.";"";2
"49.39C";"Téléphériques et remontées mécan";"490020";"Transport by suburban trains, buses and taxi operation, etc.";"";2
"49.41A";"Transports routiers de fret interurbains";"490030";"Freight transport by road and via pipeline";"";2
"49.41B";"Transports routiers de fret de proximit";"490030";"Freight transport by road and via pipeline";"";2
"49.41C";"Location de camions avec chauffeur";"490030";"Freight transport by road and via pipeline";"";2
"49.42Z";"Services de déménageme";"490030";"Freight transport by road and via pipeline";"";2
"49.50Z";"Transports par conduites";"490030";"Freight transport by road and via pipeline";"";2
"50.10Z";"Transports maritimes et côtiers de passager";"500000";"Water transport";"";4
"50.20Z";"Transports maritimes et côtiers de fre";"500000";"Water transport";"";4
"50.30Z";"Transports fluviaux de passagers";"500000";"Water transport";"";4
"50.40Z";"Transports fluviaux de fret";"500000";"Water transport";"";4
"51.10Z";"Transports aériens de passager";"510000";"Air transport";"";4
"51.21Z";"Transports aériens de fre";"510000";"Air transport";"";4
"51.22Z";"Transports spatiaux";"510000";"Air transport";"";4
"52.10A";"Entreposage et stockage frigorifique";"520000";"Support activities for transportation";"";4
"52.10B";"Entreposage et stockage non frigorifique";"520000";"Support activities for transportation";"";4
"52.21Z";"Services auxiliaires des transports terrestres";"520000";"Support activities for transportation";"";4
"52.22Z";"Services auxiliaires des transports par eau";"520000";"Support activities for transportation";"";4
"52.23Z";"Services auxiliaires des transports aérien";"520000";"Support activities for transportation";"";4
"52.24A";"Manutention portuaire";"520000";"Support activities for transportation";"";4
"52.24B";"Manutention non portuaire";"520000";"Support activities for transportation";"";4
"52.29A";"Messagerie, fret express";"520000";"Support activities for transportation";"";4
"52.29B";"Affrètement et organisation des transport";"520000";"Support activities for transportation";"";4
"53.10Z";"Activités de poste dans le cadre d'une obligation de service universe";"530000";"Postal and courier activities";"";4
"53.20Z";"Autres activités de poste et de courrie";"530000";"Postal and courier activities";"";4
"55.10Z";"Hôtels et hébergement similai";"550000";"Hotels and similar accommodation";"";4
"55.20Z";"Hébergement touristique et autre hébergement de courte dur";"550000";"Hotels and similar accommodation";"";4
"55.30Z";"Terrains de camping et parcs pour caravanes ou véhicules de loisir";"550000";"Hotels and similar accommodation";"";4
"55.90Z";"Autres hébergement";"550000";"Hotels and similar accommodation";"";4
"56.10A";"Restauration traditionnelle";"560000";"Restaurants";"";4
"56.10B";"Cafétérias et autres libres-servic";"560000";"Restaurants";"";4
"56.10C";"Restauration de type rapide";"560000";"Restaurants";"";4
"56.21Z";"Services des traiteurs";"560000";"Restaurants";"";4
"56.29A";"Restauration collective sous contrat";"560000";"Restaurants";"";4
"56.29B";"Autres services de restauration n.c.a.";"560000";"Restaurants";"";4
"56.30Z";"Débits de boisson";"560000";"Restaurants";"";4
"58.11Z";" dition de livres";"580010";"Publishing";"";2
"58.12Z";" dition de r pertoires et de fichiers d'adresses";"580010";"Publishing";"";2
"58.13Z";" dition de journaux";"580010";"Publishing";"";2
"58.14Z";" dition de revues et p riodiques";"580010";"Publishing";"";2
"58.19Z";"Autres activités d'éditi";"580010";"Publishing";"";2
"58.21Z";" dition de jeux  lectroniques";"580020";"Publishing of computer games and other software";"";2
"58.29A";" dition de logiciels syst me et de r seau";"580020";"Publishing of computer games and other software";"";2
"58.29B";" dition de logiciels outils de d veloppement et de langages";"580020";"Publishing of computer games and other software";"";2
"58.29C";" dition de logiciels applicatifs";"580020";"Publishing of computer games and other software";"";2
"59.11A";"Production de films et de programmes pour la télévisi";"590000";"Motion picture and tv prg. production, and sound recording activities";"";4
"59.11B";"Production de films institutionnels et publicitaires";"590000";"Motion picture and tv prg. production, and sound recording activities";"";4
"59.11C";"Production de films pour le ciném";"590000";"Motion picture and tv prg. production, and sound recording activities";"";4
"59.12Z";"Post-production de films cinématographiques, de vidéo et de programmes de télévi";"590000";"Motion picture and tv prg. production, and sound recording activities";"";4
"59.13A";"Distribution de films cinématographique";"590000";"Motion picture and tv prg. production, and sound recording activities";"";4
"59.13B";" dition et distribution vid o";"590000";"Motion picture and tv prg. production, and sound recording activities";"";4
"59.14Z";"Projection de films cinématographique";"590000";"Motion picture and tv prg. production, and sound recording activities";"";4
"59.20Z";"Enregistrement sonore et édition musical";"590000";"Motion picture and tv prg. production, and sound recording activities";"";4
"60.10Z";" dition et diffusion de programmes radio";"600000";"Radio and television broadcasting";"";4
"60.20A";" dition de cha nes g n ralistes";"600000";"Radio and television broadcasting";"";4
"60.20B";" dition de cha nes th matiques";"600000";"Radio and television broadcasting";"";4
"61.10Z";"Télécommunications filair";"610000";"Telecommunications";"";4
"61.20Z";"Télécommunications sans f";"610000";"Telecommunications";"";4
"61.30Z";"Télécommunications par satelli";"610000";"Telecommunications";"";4
"61.90Z";"Autres activités de télécommunicat";"610000";"Telecommunications";"";4
"62.01Z";"Programmation informatique";"620000";"Information technology service activities";"";4
"62.02A";"Conseil en systèmes et logiciels informatique";"620000";"Information technology service activities";"";4
"62.02B";"Tierce maintenance de systèmes et d'applications informatique";"620000";"Information technology service activities";"";4
"62.03Z";"Gestion d'installations informatiques";"620000";"Information technology service activities";"";4
"62.09Z";"Autres activités informatique";"620000";"Information technology service activities";"";4
"63.11Z";"Traitement de données, hébergement et activités conne";"630000";"Information service activities";"";4
"63.12Z";"Portails Internet";"630000";"Information service activities";"";4
"63.91Z";"Activités des agences de press";"630000";"Information service activities";"";4
"63.99Z";"Autres services d'information n.c.a.";"630000";"Information service activities";"";4
"64.11Z";"Activités de banque central";"640010";"Monetary intermediation";"d";3
"64.19Z";"Autres intermédiations monétair";"640010";"Monetary intermediation";"";2
"64.20Z";"Activités des sociétés hold";"640020";"Mortgage credit institutes, etc.";"d";3
"64.30Z";"Fonds de placement et entités financières similair";"640020";"Mortgage credit institutes, etc.";"d";3
"64.91Z";"Crédit-bai";"640020";"Mortgage credit institutes, etc.";"d";3
"64.92Z";"Autre distribution de crédi";"640020";"Mortgage credit institutes, etc.";"d";3
"64.99Z";"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a";"640020";"Mortgage credit institutes, etc.";"d";3
"65.11Z";"Assurance vie";"650000";"Insurance and pension funding";"";4
"65.12Z";"Autres assurances";"650000";"Insurance and pension funding";"";4
"65.20Z";"Réassuranc";"650000";"Insurance and pension funding";"";4
"65.30Z";"Caisses de retraite";"650000";"Insurance and pension funding";"";4
"66.11Z";"Administration de marchés financier";"660000";"Other financial activities";"";4
"66.12Z";"Courtage de valeurs mobilières et de marchandise";"660000";"Other financial activities";"";4
"66.19A";"Supports juridiques de gestion de patrimoine mobilier";"660000";"Other financial activities";"";4
"66.19B";"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a";"660000";"Other financial activities";"";4
"66.21Z";" valuation des risques et dommages";"660000";"Other financial activities";"";4
"66.22Z";"Activités des agents et courtiers d'assurance";"660000";"Other financial activities";"";4
"66.29Z";"Autres activités auxiliaires d'assurance et de caisses de retrait";"660000";"Other financial activities";"";4
"66.30Z";"Gestion de fonds";"660000";"Other financial activities";"";4
"68.10Z";"Activités des marchands de biens immobilier";"680010";"Buying and selling of real estate";"";2
"68.20A";"Location de logements";"680023";"Renting of residential buildings";"";2
"68.20B";"Location de terrains et d'autres biens immobiliers";"680030";"Renting of non-residential buildings";"";2
"68.31Z";"Agences immobilière";"680010";"Buying and selling of real estate";"d";3
"68.32A";"Administration d'immeubles et autres biens immobiliers";"680023";"Renting of residential buildings";"d";3
"68.32B";"Supports juridiques de gestion de patrimoine immobilier";"680023";"Renting of residential buildings";"d";3
"69.10Z";"Activités juridique";"690010";"Legal activities";"";2
"69.20Z";"Activités comptable";"690020";"Accounting and bookkeeping activities";"";2
"70.10Z";"Activités des sièges socia";"700000";"Business consultancy activities";"";4
"70.21Z";"Conseil en relations publiques et communication";"700000";"Business consultancy activities";"";4
"70.22Z";"Conseil pour les affaires et autres conseils de gestion";"700000";"Business consultancy activities";"";4
"71.11Z";"Activités d'architectur";"710000";"Architectural and engineering activities";"";4
"71.12A";"Activité des géomèt";"710000";"Architectural and engineering activities";"";4
"71.12B";"Ingénierie, études techniqu";"710000";"Architectural and engineering activities";"";4
"71.20A";"Contrôle technique automobil";"710000";"Architectural and engineering activities";"";4
"71.20B";"Analyses, essais et inspections techniques";"710000";"Architectural and engineering activities";"";4
"72.11Z";"Recherche-développement en biotechnologi";"720001";"Scientific research and development (market)";"d";3
"72.19Z";"Recherche-développement en autres sciences physiques et naturelle";"720001";"Scientific research and development (market)";"d";3
"72.20Z";"Recherche-développement en sciences humaines et sociale";"720001";"Scientific research and development (market)";"d";3
"73.11Z";"Activités des agences de publicit";"730000";"Advertising and market research";"";4
"73.12Z";"Régie publicitaire de médi";"730000";"Advertising and market research";"";4
"73.20Z";" tudes de march  et sondages";"730000";"Advertising and market research";"";4
"74.10Z";"Activités spécialisées de des";"740000";"Other technical business services";"";4
"74.20Z";"Activités photographique";"740000";"Other technical business services";"";4
"74.30Z";"Traduction et interprétatio";"740000";"Other technical business services";"";4
"74.90A";"Activité des économistes de la constructi";"740000";"Other technical business services";"";4
"74.90B";"Activités spécialisées, scientifiques et techniques diver";"740000";"Other technical business services";"";4
"75.00Z";"Activités vétérinai";"750000";"Veterinary activities";"";4
"77.11A";"Location de courte durée de voitures et de véhicules automobiles lég";"770000";"Rental and leasing activities";"";4
"77.11B";"Location de longue durée de voitures et de véhicules automobiles lég";"770000";"Rental and leasing activities";"";4
