"code_ape_a732";"label_ape_a732";"code_eeio_us";"label_eeio_us";"flag_mapping_a732";"accuracy_mapping_a732"
"10.13A";"Préparation industrielle de produits à base de viande";"31161A";"Animal (except poultry) slaughtering, rendering, and processing";"";2
"10.13B";"Charcuterie";"31161A";"Animal (except poultry) slaughtering, rendering, and processing";"";2
"10.20Z";"Transformation et conservation de poisson, de crustacés et de mollusques";"311700";"Seafood product preparation and packaging";"";1
"10.31Z";"Transformation et conservation de pommes de terre";"311410";"Frozen food manufacturing";"p";3
"10.31Z";"Transformation et conservation de pommes de terre";"311420";"Fruit and vegetable canning, pickling, and drying";"p";3
"10.31Z";"Transformation et conservation de pommes de terre";"311910";"Snack food manufacturing";"p";3
"10.32Z";"Préparation de jus de fruits et légumes";"311420";"Fruit and vegetable canning, pickling, and drying";"";3
"10.39A";"Autre transformation et conservation de légumes";"311410";"Frozen food manufacturing";"p";3
"10.39A";"Autre transformation et conservation de légumes";"311420";"Fruit and vegetable canning, pickling, and drying";"p";3
"10.39B";"Transformation et conservation de fruits";"311410";"Frozen food manufacturing";"p";3
"10.39B";"Transformation et conservation de fruits";"311420";"Fruit and vegetable canning, pickling, and drying";"p";3
"10.41A";"Fabrication d'huiles et graisses brutes";"311224";"Soybean and other oilseed processing";"";2
"10.41B";"Fabrication d'huiles et graisses raffinées";"311225";"Fats and oils refining and blending";"";2
"10.42Z";"Fabrication de margarine et graisses comestibles similaires";"311225";"Fats and oils refining and blending";"";2
"10.51A";"Fabrication de lait liquide et de produits frais";"31151A";"Fluid milk and butter manufacturing";"";2
"10.51B";"Fabrication de beurre";"31151A";"Fluid milk and butter manufacturing";"";2
"10.51C";"Fabrication de fromage";"311513";"Cheese manufacturing";"";1
"10.51D";"Fabrication d'autres produits laitiers";"311514";"Dry, condensed, and evaporated dairy product manufacturing";"";2
"10.52Z";"Fabrication de glaces et sorbets";"311520";"Ice cream and frozen dessert manufacturing";"";1
"10.61A";"Meunerie";"311210";"Flour milling and malt manufacturing";"";2
"10.61B";"Autres activités du travail des grains";"311210";"Flour milling and malt manufacturing";"p";2
"10.61B";"Autres activités du travail des grains";"311230";"Breakfast cereal manufacturing";"p";2
"10.62Z";"Fabrication de produits amylacés";"311221";"Wet corn milling";"";1
"10.71A";"Fabrication industrielle de pain et de pâtisserie fraîche";"311810";"Bread and bakery product manufacturing";"p";2
"10.71A";"Fabrication industrielle de pain et de pâtisserie fraîche";"3118A0";"Cookie, cracker, pasta, and tortilla manufacturing";"p";2
"10.71B";"Cuisson de produits de boulangerie";"311810";"Bread and bakery product manufacturing";"";2
"10.71C";"Boulangerie et boulangerie-pâtisserie";"311810";"Bread and bakery product manufacturing";"";2
"10.71D";"Pâtisserie";"311810";"Bread and bakery product manufacturing";"";2
"10.72Z";"Fabrication de biscuits, biscottes et pâtisseries de conservation";"3118A0";"Cookie, cracker, pasta, and tortilla manufacturing";"";2
"10.73Z";"Fabrication de pâtes alimentaires";"3118A0";"Cookie, cracker, pasta, and tortilla manufacturing";"";2
"10.81Z";"Fabrication de sucre";"311300";"Sugar and confectionery product manufacturing";"";2
"10.82Z";"Fabrication de cacao, chocolat et de produits de confiserie";"311300";"Sugar and confectionery product manufacturing";"";2
"10.83Z";"Transformation du thé et du café";"311920";"Coffee and tea manufacturing";"";1
"10.84Z";"Fabrication de condiments et assaisonnements";"311940";"Seasoning and dressing manufacturing";"";1
"10.85Z";"Fabrication de plats préparés";"311990";"All other food manufacturing";"";3
"10.86Z";"Fabrication d'aliments homogénéisés et diététiques";"311990";"All other food manufacturing";"";3
"10.89Z";"Fabrication d'autres produits alimentaires n.c.a.";"311930";"Flavoring syrup and concentrate manufacturing";"p";3
"10.89Z";"Fabrication d'autres produits alimentaires n.c.a.";"311990";"All other food manufacturing";"p";3
"10.91Z";"Fabrication d'aliments pour animaux de ferme";"311119";"Other animal food manufacturing";"";2
"10.92Z";"Fabrication d'aliments pour animaux de compagnie";"311111";"Dog and cat food manufacturing";"";1
"11.01Z";"Production de boissons alcooliques distillées";"312140";"Distilleries";"";1
"11.02A";"Fabrication de vins effervescents";"312130";"Wineries";"";2
"11.02B";"Vinification";"312130";"Wineries";"";2
"11.03Z";"Fabrication de cidre et de vins de fruits";"312130";"Wineries";"";2
"11.04Z";"Production d'autres boissons fermentées non distillées";"312130";"Wineries";"";2
"11.05Z";"Fabrication de bière";"312120";"Breweries";"";1
"11.06Z";"Fabrication de malt";"311210";"Flour milling and malt manufacturing";"";2
"11.07A";"Industrie des eaux de table";"312110";"Soft drink and ice manufacturing";"";3
"11.07B";"Production de boissons rafraîchissantes";"311930";"Flavoring syrup and concentrate manufacturing";"p";3
"11.07B";"Production de boissons rafraîchissantes";"312110";"Soft drink and ice manufacturing";"p";3
"12.00Z";"Fabrication de produits à base de tabac";"312200";"Tobacco manufacturing";"";1
"13.10Z";"Préparation de fibres textiles et filature";"313100";"Fiber, yarn, and thread mills";"";1
"13.20Z";"Tissage";"313200";"Fabric mills";"";3
"13.30Z";"Ennoblissement textile";"313300";"Textile and fabric finishing and fabric coating mills";"";2
"13.91Z";"Fabrication d'étoffes à mailles";"313200";"Fabric mills";"";3
"13.92Z";"Fabrication d'articles textiles, sauf habillement";"314120";"Curtain and linen mills";"";3
"13.92Z";"Fabrication d'articles textiles, sauf habillement";"314900";"Other textile product mills";"";3
"13.93Z";"Fabrication de tapis et moquettes";"314110";"Carpet and rug mills";"";1
"13.94Z";"Fabrication de ficelles, cordes et filets";"314900";"Other textile product mills";"";3
"13.95Z";"Fabrication de non-tissés, sauf habillement";"313200";"Fabric mills";"";3
"13.96Z";"Fabrication d'autres textiles techniques et industriels";"313200";"Fabric mills";"";3
"13.99Z";"Fabrication d'autres textiles n.c.a.";"314900";"Other textile product mills";"";3
"14.11Z";"Fabrication de vêtements en cuir";"315000";"Apparel manufacturing";"";3
"14.12Z";"Fabrication de vêtements de travail";"315000";"Apparel manufacturing";"";3
"14.13Z";"Fabrication de vêtements de dessus";"315000";"Apparel manufacturing";"";3
"14.14Z";"Fabrication de vêtements de dessous";"315000";"Apparel manufacturing";"";3
"14.19Z";"Fabrication d'autres vêtements et accessoires";"315000";"Apparel manufacturing";"";3
"14.20Z";"Fabrication d'articles en fourrure";"315000";"Apparel manufacturing";"";3
"14.31Z";"Fabrication d'articles chaussants à mailles";"315000";"Apparel manufacturing";"";3
"14.39Z";"Fabrication d'autres articles à mailles";"315000";"Apparel manufacturing";"";3
"15.11Z";"Apprêt et tannage des cuirs ; préparation et teinture des fourrures";"316000";"Leather and allied product manufacturing";"";2
"15.12Z";"Fabrication d'articles de voyage, de maroquinerie et de sellerie";"316000";"Leather and allied product manufacturing";"";2
"15.20Z";"Fabrication de chaussures";"316000";"Leather and allied product manufacturing";"";2
"16.10A";"Sciage et rabotage du bois, hors imprégnation";"321100";"Sawmills and wood preservation";"";2
"16.10B";"Imprégnation du bois";"321100";"Sawmills and wood preservation";"";2
"16.21Z";"Fabrication de placage et de panneaux de bois";"321200";"Veneer, plywood, and engineered wood product manufacturing";"";2
"16.22Z";"Fabrication de parquets assemblés";"321200";"Veneer, plywood, and engineered wood product manufacturing";"";2
"16.23Z";"Fabrication de charpentes et d'autres menuiseries";"321910";"Millwork";"";1
"16.24Z";"Fabrication d'emballages en bois";"3219A0";"All other wood product manufacturing";"";3
"16.29Z";"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";"3219A0";"All other wood product manufacturing";"";3
"17.11Z";"Fabrication de pâte à papier";"322110";"Pulp mills";"";1
"17.12Z";"Fabrication de papier et de carton";"322120";"Paper mills";"p";2
"17.12Z";"Fabrication de papier et de carton";"322130";"Paperboard mills";"p";2
"17.21A";"Fabrication de carton ondulé";"322210";"Paperboard container manufacturing";"";2
"17.21B";"Fabrication de cartonnages";"322210";"Paperboard container manufacturing";"";2
"17.21C";"Fabrication d'emballages en papier";"322220";"Paper bag and coated and treated paper manufacturing";"";1
"17.22Z";"Fabrication d'articles en papier à usage sanitaire ou domestique";"322291";"Sanitary paper product manufacturing";"";1
"17.23Z";"Fabrication d'articles de papeterie";"322230";"Stationery product manufacturing";"";1
"17.24Z";"Fabrication de papiers peints";"322299";"All other converted paper product manufacturing";"";3
"17.29Z";"Fabrication d'autres articles en papier ou en carton";"322299";"All other converted paper product manufacturing";"";3
"18.11Z";"Imprimerie de journaux";"323110";"Printing";"";2
"18.12Z";"Autre imprimerie (labeur)";"323110";"Printing";"";2
"18.13Z";"Activités de pré-presse";"323120";"Support activities for printing";"";3
"18.14Z";"Reliure et activités connexes";"323120";"Support activities for printing";"";3
"18.20Z";"Reproduction d'enregistrements";"334610";"Manufacturing and reproducing magnetic and optical media";"";2
"19.10Z";"Cokéfaction";"324190";"Other petroleum and coal products manufacturing";"";2
"19.20Z";"Raffinage du pétrole";"324110";"Petroleum refineries";"";1
"20.11Z";"Fabrication de gaz industriels";"325120";"Industrial gas manufacturing";"";1
"20.12Z";"Fabrication de colorants et de pigments";"325130";"Synthetic dye and pigment manufacturing";"";1
"20.13A";"Enrichissement et  retraitement de matières nucléaires";"325180";"Other basic inorganic chemical manufacturing";"";3
"20.13B";"Fabrication d'autres produits chimiques inorganiques de base n.c.a.";"325180";"Other basic inorganic chemical manufacturing";"";3
"20.14Z";"Fabrication d'autres produits chimiques organiques de base";"325110";"Petrochemical manufacturing";"p";2
"20.14Z";"Fabrication d'autres produits chimiques organiques de base";"325190";"Other basic organic chemical manufacturing";"p";2
"20.15Z";"Fabrication de produits azotés et d'engrais";"325310";"Fertilizer manufacturing";"";1
"20.16Z";"Fabrication de matières plastiques de base";"325211";"Plastics material and resin manufacturing";"";2
"20.17Z";"Fabrication de caoutchouc synthétique";"3252A0";"Synthetic rubber and artificial and synthetic fibers and filaments manufacturing";"";3
