"code_ape_a732";"label_ape_a732";"code_eeio_us";"label_eeio_us";"flag_mapping_a732";"accuracy_mapping_a732"
"25.99A";"Fabrication d'articles métalliques ménagers";"332999";"Other fabricated metal manufacturing";"";3
"25.99B";"Fabrication d'autres articles métalliques";"332996";"Fabricated pipe and pipe fitting manufacturing";"p";3
"25.99B";"Fabrication d'autres articles métalliques";"332999";"Other fabricated metal manufacturing";"p";3
"26.11Z";"Fabrication de composants électroniques";"334413";"Semiconductor and related device manufacturing";"";2
"26.11Z";"Fabrication de composants électroniques";"33441A";"Other electronic component manufacturing";"";2
"26.12Z";"Fabrication de cartes électroniques assemblées";"334418";"Printed circuit assembly (electronic assembly) manufacturing";"";1
"26.20Z";"Fabrication d'ordinateurs et d'équipements périphériques";"334111";"Electronic computer manufacturing";"p";3
"26.20Z";"Fabrication d'ordinateurs et d'équipements périphériques";"334112";"Computer storage device manufacturing";"p";3
"26.20Z";"Fabrication d'ordinateurs et d'équipements périphériques";"334118";"Computer terminals and other computer peripheral equipment manufacturing";"p";3
"26.30Z";"Fabrication d'équipements de communication";"334210";"Telephone apparatus manufacturing";"p";3
"26.30Z";"Fabrication d'équipements de communication";"334220";"Broadcast and wireless communications equipment";"p";3
"26.30Z";"Fabrication d'équipements de communication";"334290";"Other communications equipment manufacturing";"p";3
"26.40Z";"Fabrication de produits électroniques grand public";"334300";"Audio and video equipment manufacturing";"";1
"26.51A";"Fabrication d'équipements d'aide à la navigation";"334511";"Search, detection, and navigation instruments manufacturing";"";1
"26.51B";"Fabrication d'instrumentation scientifique et technique";"334512";"Automatic environmental control manufacturing";"p";2
"26.51B";"Fabrication d'instrumentation scientifique et technique";"334513";"Industrial process variable instruments manufacturing";"p";2
"26.51B";"Fabrication d'instrumentation scientifique et technique";"334514";"Totalizing fluid meter and counting device manufacturing";"p";2
"26.51B";"Fabrication d'instrumentation scientifique et technique";"334515";"Electricity and signal testing instruments manufacturing";"p";2
"26.51B";"Fabrication d'instrumentation scientifique et technique";"334516";"Analytical laboratory instrument manufacturing";"p";2
"26.52Z";"Horlogerie";"33451A";"Watch, clock, and other measuring and controlling device manufacturing";"";1
"26.60Z";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques";"334510";"Electromedical and electrotherapeutic apparatus manufacturing";"";2
"26.60Z";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques";"334517";"Irradiation apparatus manufacturing";"";2
"26.70Z";"Fabrication de matériels optique et photographique";"333314";"Optical instrument and lens manufacturing";"";2
"26.70Z";"Fabrication de matériels optique et photographique";"333316";"Photographic and photocopying equipment manufacturing";"";2
"26.80Z";"Fabrication de supports magnétiques et optiques";"334610";"Manufacturing and reproducing magnetic and optical media";"";1
"27.11Z";"Fabrication de moteurs, génératrices et transformateurs électriques";"335311";"Power, distribution, and specialty transformer manufacturing";"p";2
"27.11Z";"Fabrication de moteurs, génératrices et transformateurs électriques";"335312";"Motor and generator manufacturing";"p";2
"27.12Z";"Fabrication de matériel de distribution et de commande électrique";"335313";"Switchgear and switchboard apparatus manufacturing";"p";2
"27.12Z";"Fabrication de matériel de distribution et de commande électrique";"335314";"Relay and industrial control manufacturing";"p";2
"27.20Z";"Fabrication de piles et d'accumulateurs électriques";"335911";"Storage battery manufacturing";"p";1
"27.20Z";"Fabrication de piles et d'accumulateurs électriques";"335912";"Primary battery manufacturing";"p";1
"27.31Z";"Fabrication de câbles de fibres optiques";"335920";"Communication and energy wire and cable manufacturing";"";2
"27.32Z";"Fabrication d'autres fils et câbles électroniques ou électriques";"335920";"Communication and energy wire and cable manufacturing";"";2
"27.33Z";"Fabrication de matériel d'installation électrique";"335930";"Wiring device manufacturing";"";1
"27.40Z";"Fabrication d'appareils d'éclairage électrique";"335110";"Electric lamp bulb and part manufacturing";"p";1
"27.40Z";"Fabrication d'appareils d'éclairage électrique";"335120";"Lighting fixture manufacturing";"p";1
"27.51Z";"Fabrication d'appareils électroménagers";"335210";"Small electrical appliance manufacturing";"p";2
"27.51Z";"Fabrication d'appareils électroménagers";"335220";"Major household appliance manufacturing";"p";2
"27.52Z";"Fabrication d'appareils ménagers non électriques";"335220";"Major household appliance manufacturing";"";2
"27.90Z";"Fabrication d'autres matériels électriques";"33399A";"Other general purpose machinery manufacturing";"p";3
"27.90Z";"Fabrication d'autres matériels électriques";"335991";"Carbon and graphite product manufacturing";"p";3
"27.90Z";"Fabrication d'autres matériels électriques";"335999";"All other miscellaneous electrical equipment and component manufacturing";"p";3
"28.11Z";"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules";"333611";"Turbine and turbine generator set units manufacturing";"p";1
"28.11Z";"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules";"333618";"Other engine equipment manufacturing";"p";1
"28.12Z";"Fabrication d'équipements hydrauliques et pneumatiques";"33399B";"Fluid power process machinery";"";1
"28.13Z";"Fabrication d'autres pompes et compresseurs";"333912";"Air and gas compressor manufacturing";"";1
"28.13Z";"Fabrication d'autres pompes et compresseurs";"333914";"Measuring, dispensing, and other pumping equipment manufacturing";"";1
"28.14Z";"Fabrication d'autres articles de robinetterie";"332913";"Plumbing fixture fitting and trim manufacturing";"p";1
"28.14Z";"Fabrication d'autres articles de robinetterie";"33291A";"Valve and fittings other than plumbing";"p";1
"28.15Z";"Fabrication d'engrenages et d'organes mécaniques de transmission";"332991";"Ball and roller bearing manufacturing";"p";1
"28.15Z";"Fabrication d'engrenages et d'organes mécaniques de transmission";"333612";"Speed changer, industrial high-speed drive, and gear manufacturing";"p";1
"28.15Z";"Fabrication d'engrenages et d'organes mécaniques de transmission";"333613";"Mechanical power transmission equipment manufacturing";"p";1
"28.21Z";"Fabrication de fours et brûleurs";"333414";"Heating equipment (except warm air furnaces) manufacturing";"p";1
"28.21Z";"Fabrication de fours et brûleurs";"333994";"Industrial process furnace and oven manufacturing";"p";1
"28.21Z";"Fabrication de fours et brûleurs";"335210";"Small electrical appliance manufacturing";"p";1
"28.22Z";"Fabrication de matériel de levage et de manutention";"333920";"Material handling equipment manufacturing";"";1
"28.23Z";"Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)";"333318";"Other commercial and service industry machinery manufacturing";"";1
"28.24Z";"Fabrication d'outillage portatif à moteur incorporé";"333991";"Power-driven handtool manufacturing";"";1
"28.25Z";"Fabrication d'équipements aérauliques et frigorifiques industriels";"333413";"Industrial and commercial fan and blower and air purification equipment manufacturing";"p";1
"28.25Z";"Fabrication d'équipements aérauliques et frigorifiques industriels";"333415";"Air conditioning, refrigeration, and warm air heating equipment manufacturing";"p";1
"28.29A";"Fabrication d'équipements d'emballage, de conditionnement et de pesage";"333993";"Packaging machinery manufacturing";"";2
"28.29A";"Fabrication d'équipements d'emballage, de conditionnement et de pesage";"33399A";"Other general purpose machinery manufacturing";"";2
"28.29B";"Fabrication d'autres machines d'usage général";"33399A";"Other general purpose machinery manufacturing";"";2
"28.30Z";"Fabrication de machines agricoles et forestières";"333111";"Farm machinery and equipment manufacturing";"p";1
"28.30Z";"Fabrication de machines agricoles et forestières";"333112";"Lawn and garden equipment manufacturing";"p";1
"28.41Z";"Fabrication de machines-outils pour le travail des métaux";"333517";"Machine tool manufacturing";"";1
"28.49Z";"Fabrication d'autres machines-outils";"33351B";"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing";"";2
"28.91Z";"Fabrication de machines pour la métallurgie";"33351B";"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing";"";2
"28.92Z";"Fabrication de machines pour l'extraction ou la construction";"333120";"Construction machinery manufacturing";"p";1
"28.92Z";"Fabrication de machines pour l'extraction ou la construction";"333130";"Mining and oil and gas field machinery manufacturing";"p";1
"28.93Z";"Fabrication de machines pour l'industrie agro-alimentaire";"33329A";"Other industrial machinery manufacturing";"";2
"28.94Z";"Fabrication de machines pour les industries textiles";"33329A";"Other industrial machinery manufacturing";"";2
"28.95Z";"Fabrication de machines pour les industries du papier et du carton";"33329A";"Other industrial machinery manufacturing";"";2
"28.96Z";"Fabrication de machines pour le travail du caoutchouc ou des plastiques";"33329A";"Other industrial machinery manufacturing";"";2
"28.99A";"Fabrication de machines d'imprimerie";"33329A";"Other industrial machinery manufacturing";"";2
"28.99B";"Fabrication d'autres machines spécialisées";"333242";"Semiconductor machinery manufacturing";"p";3
"28.99B";"Fabrication d'autres machines spécialisées";"33329A";"Other industrial machinery manufacturing";"p";3
"28.99B";"Fabrication d'autres machines spécialisées";"333318";"Other commercial and service industry machinery manufacturing";"p";3
"29.10Z";"Construction de véhicules automobiles";"336111";"Automobile manufacturing";"p";1
"29.10Z";"Construction de véhicules automobiles";"336112";"Light truck and utility vehicle manufacturing";"p";1
"29.10Z";"Construction de véhicules automobiles";"336120";"Heavy duty truck manufacturing";"p";1
"29.20Z";"Fabrication de carrosseries et remorques";"336211";"Motor vehicle body manufacturing";"p";1
"29.20Z";"Fabrication de carrosseries et remorques";"336212";"Truck trailer manufacturing";"p";1
"29.20Z";"Fabrication de carrosseries et remorques";"336213";"Motor home manufacturing";"p";1
"29.20Z";"Fabrication de carrosseries et remorques";"336214";"Travel trailer and camper manufacturing";"p";1
"29.31Z";"Fabrication d'équipements électriques et électroniques automobiles";"336320";"Motor vehicle electrical and electronic equipment manufacturing";"";1
"29.32Z";"Fabrication d'autres équipements automobiles";"336310";"Motor vehicle gasoline engine and engine parts manufacturing";"p";1
"29.32Z";"Fabrication d'autres équipements automobiles";"336350";"Motor vehicle transmission and power train parts manufacturing";"p";1
"29.32Z";"Fabrication d'autres équipements automobiles";"336360";"Motor vehicle seating and interior trim manufacturing";"p";1
"29.32Z";"Fabrication d'autres équipements automobiles";"336370";"Motor vehicle metal stamping";"p";1
"29.32Z";"Fabrication d'autres équipements automobiles";"336390";"Other motor vehicle parts manufacturing";"p";1
"29.32Z";"Fabrication d'autres équipements automobiles";"3363A0";"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing";"p";1
"30.11Z";"Construction de navires et de structures flottantes";"336611";"Ship building and repairing";"";2
"30.12Z";"Construction de bateaux de plaisance";"336612";"Boat building";"";1
"30.20Z";"Construction de locomotives et d'autre matériel ferroviaire roulant";"336500";"Railroad rolling stock manufacturing";"";1
"30.30Z";"Construction aéronautique et spatiale";"336411";"Aircraft manufacturing";"p";3
"30.30Z";"Construction aéronautique et spatiale";"336412";"Aircraft engine and engine parts manufacturing";"p";3
"30.30Z";"Construction aéronautique et spatiale";"336413";"Other aircraft parts and auxiliary equipment manufacturing";"p";3
"30.30Z";"Construction aéronautique et spatiale";"336414";"Guided missile and space vehicle manufacturing";"p";3
"30.30Z";"Construction aéronautique et spatiale";"33641A";"Propulsion units and parts for space vehicles and guided missiles";"p";3
"30.40Z";"Construction de véhicules militaires de combat";"336992";"Military armored vehicle, tank, and tank component manufacturing";"";1
"30.91Z";"Fabrication de motocycles";"336991";"Motorcycle, bicycle, and parts manufacturing";"";2
"30.92Z";"Fabrication de bicyclettes et de véhicules pour invalides";"336991";"Motorcycle, bicycle, and parts manufacturing";"";2
"30.99Z";"Fabrication d’autres équipements de transport n.c.a.";"336999";"All other transportation equipment manufacturing";"";3
"31.01Z";"Fabrication de meubles de bureau et de magasin";"337215";"Showcase, partition, shelving, and locker manufacturing";"p";2
"31.01Z";"Fabrication de meubles de bureau et de magasin";"33721A";"Office furniture and custom architectural woodwork and millwork manufacturing";"p";2
"31.02Z";"Fabrication de meubles de cuisine";"337110";"Wood kitchen cabinet and countertop manufacturing";"";1
"31.03Z";"Fabrication de matelas";"337900";"Other furniture related product manufacturing";"";3
"31.09A";"Fabrication de sièges d'ameublement d'intérieur";"337121";"Upholstered household furniture manufacturing";"";1
"31.09B";"Fabrication d’autres meubles et industries connexes de l’ameublement";"337122";"Nonupholstered wood household furniture manufacturing";"p";2
"31.09B";"Fabrication d’autres meubles et industries connexes de l’ameublement";"337127";"Institutional furniture manufacturing";"p";2
"31.09B";"Fabrication d’autres meubles et industries connexes de l’ameublement";"33712N";"Other household nonupholstered furniture";"p";2
"31.09B";"Fabrication d’autres meubles et industries connexes de l’ameublement";"337900";"Other furniture related product manufacturing";"p";2
"32.11Z";"Frappe de monnaie";"339910";"Jewelry and silverware manufacturing";"";3
"32.12Z";"Fabrication d’articles de joaillerie et bijouterie";"339910";"Jewelry and silverware manufacturing";"";2
"32.13Z";"Fabrication d’articles de bijouterie fantaisie et articles similaires";"339910";"Jewelry and silverware manufacturing";"";2
"32.20Z";"Fabrication d'instruments de musique";"339990";"All other miscellaneous manufacturing";"";3
"32.30Z";"Fabrication d'articles de sport";"339920";"Sporting and athletic goods manufacturing";"";1
"32.40Z";"Fabrication de jeux et jouets";"339930";"Doll, toy, and game manufacturing";"";1
"32.50A";"Fabrication de matériel médico-chirurgical et dentaire";"339112";"Surgical and medical instrument manufacturing";"p";1
"32.50A";"Fabrication de matériel médico-chirurgical et dentaire";"339113";"Surgical appliance and supplies manufacturing";"p";1
"32.50A";"Fabrication de matériel médico-chirurgical et dentaire";"339114";"Dental equipment and supplies manufacturing";"p";1
"32.50A";"Fabrication de matériel médico-chirurgical et dentaire";"339116";"Dental laboratories";"p";1
"32.50B";"Fabrication de lunettes";"339115";"Ophthalmic goods manufacturing";"";1
"32.91Z";"Fabrication d’articles de brosserie";"339990";"All other miscellaneous manufacturing";"";3
"32.99Z";"Autres activités manufacturières n.c.a.";"339940";"Office supplies (except paper) manufacturing";"p";3
"32.99Z";"Autres activités manufacturières n.c.a.";"339950";"Sign manufacturing";"p";3
"32.99Z";"Autres activités manufacturières n.c.a.";"339990";"All other miscellaneous manufacturing";"p";3
"33.11Z";"Réparation d'ouvrages en métaux";"811300";"Commercial and industrial machinery and equipment repair and maintenance";"";3
"33.12Z";"Réparation de machines et équipements mécaniques";"811300";"Commercial and industrial machinery and equipment repair and maintenance";"";3
"33.13Z";"Réparation de matériels électroniques et optiques";"811200";"Electronic and precision equipment repair and maintenance";"";1
"33.14Z";"Réparation d'équipements électriques";"811300";"Commercial and industrial machinery and equipment repair and maintenance";"";3
"33.15Z";"Réparation et maintenance navale";"336611";"Ship building and repairing";"";1
"33.16Z";"Réparation et maintenance d'aéronefs et d'engins spatiaux";"48A000";"Scenic and sightseeing transportation and support activities for transportation";"";3
"33.17Z";"Réparation et maintenance d'autres équipements de transport";"811300";"Commercial and industrial machinery and equipment repair and maintenance";"";3
"33.19Z";"Réparation d'autres équipements";"811300";"Commercial and industrial machinery and equipment repair and maintenance";"";3
"33.20A";"Installation de structures métalliques, chaudronnées et de tuyauterie";"233230";"Manufacturing structures";"";3
"33.20B";"Installation de machines et équipements mécaniques";"233230";"Manufacturing structures";"";3
"33.20C";"Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels";"233240";"Power and communication structures";"";3
"33.20D";"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels";"233240";"Power and communication structures";"";3
"35.11Z";"Production d'électricité";"221100";"Electricity";"";3
"35.12Z";"Transport d'électricité";"221100";"Electricity";"";3
"35.13Z";"Distribution d'électricité";"221100";"Electricity";"";3
"35.14Z";"Commerce d'électricité";"221100";"Electricity";"";3
"35.21Z";"Production de combustibles gazeux";"221200";"Natural gas distribution";"";2
"35.22Z";"Distribution de combustibles gazeux par conduites";"221200";"Natural gas distribution";"";2
"35.23Z";"Commerce de combustibles gazeux par conduites";"221200";"Natural gas distribution";"";2
"35.30Z";"Production et distribution de vapeur et d'air conditionné";"221300";"Water, sewage and other systems";"";3
"36.00Z";"Captage, traitement et distribution d'eau";"221300";"Water, sewage and other systems";"";3
"37.00Z";"Collecte et traitement des eaux usées";"221300";"Water, sewage and other systems";"";3
"38.11Z";"Collecte des déchets non dangereux";"562000";"Waste management and remediation services";"";3
"38.12Z";"Collecte des déchets dangereux";"562000";"Waste management and remediation services";"";3
"38.21Z";"Traitement et élimination des déchets non dangereux";"562000";"Waste management and remediation services";"";3
"38.22Z";"Traitement et élimination des déchets dangereux";"562000";"Waste management and remediation services";"";3
"38.31Z";"Démantèlement d'épaves";"562000";"Waste management and remediation services";"";3
"38.32Z";"Récupération de déchets triés";"562000";"Waste management and remediation services";"";3
"39.00Z";"Dépollution et autres services de gestion des déchets";"562000";"Waste management and remediation services";"";3
"41.10A";"Promotion immobilière de logements";"531ORE";"Other real estate";"";3
"41.10B";"Promotion immobilière de bureaux";"531ORE";"Other real estate";"";3
"41.10C";"Promotion immobilière d'autres bâtiments";"531ORE";"Other real estate";"";3
"41.10D";"Supports juridiques de programmes";"531ORE";"Other real estate";"";3
"41.20A";"Construction de maisons individuelles";"233411";"Single-family residential structures";"";1
"41.20B";"Construction d'autres bâtiments";"233210";"Health care structures";"p";3
"41.20B";"Construction d'autres bâtiments";"233230";"Manufacturing structures";"p";3
"41.20B";"Construction d'autres bâtiments";"233240";"Power and communication structures";"p";3
"41.20B";"Construction d'autres bâtiments";"233262";"Educational and vocational structures";"p";3
"41.20B";"Construction d'autres bâtiments";"2332A0";"Office and commercial structures";"p";3
"41.20B";"Construction d'autres bâtiments";"2332D0";"Other nonresidential structures";"p";3
"41.20B";"Construction d'autres bâtiments";"233412";"Multifamily residential structures";"p";3
"41.20B";"Construction d'autres bâtiments";"2334A0";"Other residential structures";"p";3
"42.11Z";"Construction de routes et autoroutes";"2332C0";"Transportation structures and highways and streets";"";3
"42.12Z";"Construction de voies ferrées de surface et souterraines";"2332C0";"Transportation structures and highways and streets";"";3
"42.13A";"Construction d'ouvrages d'art";"2332C0";"Transportation structures and highways and streets";"";3
"42.13B";"Construction et entretien de tunnels";"2332C0";"Transportation structures and highways and streets";"";3
"42.21Z";"Construction de réseaux pour fluides";"2332C0";"Transportation structures and highways and streets";"";3
"42.22Z";"Construction de réseaux électriques et de télécommunications";"233240";"Power and communication structures";"";2
"42.91Z";"Construction d'ouvrages maritimes et fluviaux";"2332C0";"Transportation structures and highways and streets";"";3
"42.99Z";"Construction d'autres ouvrages de génie civil n.c.a.";"2332C0";"Transportation structures and highways and streets";"";3
"43.11Z";"Travaux de démolition";"23";"Construction";"na";5
"43.12A";"Travaux de terrassement courants et travaux préparatoires";"24";"Construction";"na";5
"43.12B";"Travaux de terrassement spécialisés ou de grande masse";"25";"Construction";"na";5
"43.13Z";"Forages et sondages";"26";"Construction";"na";5
"43.21A";"Travaux d'installation électrique dans tous locaux";"27";"Construction";"na";5
"43.21B";"Travaux d'installation électrique sur la voie publique";"28";"Construction";"na";5
"43.22A";"Travaux d'installation d'eau et de gaz en tous locaux";"29";"Construction";"na";5
"43.22B";"Travaux d'installation d'équipements thermiques et de climatisation";"30";"Construction";"na";5
"43.29A";"Travaux d'isolation";"31";"Construction";"na";5
"43.29B";"Autres travaux d'installation n.c.a.";"32";"Construction";"na";5
"43.31Z";"Travaux de plâtrerie";"33";"Construction";"na";5
"43.32A";"Travaux de menuiserie bois et PVC";"34";"Construction";"na";5
"43.32B";"Travaux de menuiserie métallique et serrurerie";"35";"Construction";"na";5
"43.32C";"Agencement de lieux de vente";"36";"Construction";"na";5
"43.33Z";"Travaux de revêtement des sols et des murs";"37";"Construction";"na";5
"43.34Z";"Travaux de peinture et vitrerie";"38";"Construction";"na";5
"43.39Z";"Autres travaux de finition";"39";"Construction";"na";5
"43.91A";"Travaux de charpente";"40";"Construction";"na";5
"43.91B";"Travaux de couverture par éléments";"41";"Construction";"na";5
"43.99A";"Travaux d'étanchéification";"42";"Construction";"na";5
"43.99B";"Travaux de montage de structures métalliques";"43";"Construction";"na";5
"43.99C";"Travaux de maçonnerie générale et gros œuvre de bâtiment";"44";"Construction";"na";5
"43.99D";"Autres travaux spécialisés de construction";"45";"Construction";"na";5
"43.99E";"Location avec opérateur de matériel de construction";"46";"Construction";"na";5
"45.11Z";"Commerce de voitures et de véhicules automobiles légers";"441000";"Motor vehicle and parts dealers";"";2
"45.19Z";"Commerce d'autres véhicules automobiles";"441000";"Motor vehicle and parts dealers";"";2
"45.20A";"Entretien et réparation de véhicules automobiles légers";"811100";"Automotive repair and maintenance";"";2
"45.20B";"Entretien et réparation d'autres véhicules automobiles";"811100";"Automotive repair and maintenance";"";2
"45.31Z";"Commerce de gros d'équipements automobiles";"423100";"Motor vehicle and motor vehicle parts and supplies";"";1
"45.32Z";"Commerce de détail d'équipements automobiles";"441000";"Motor vehicle and parts dealers";"";1
"45.40Z";"Commerce et réparation de motocycles";"811400";"Personal and household goods repair and maintenance";"";3
"46.11Z";"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.12A";"Centrales d'achat de carburant";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.12B";"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.13Z";"Intermédiaires du commerce en bois et matériaux de construction";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.14Z";"Intermédiaires du commerce en machines, équipements industriels, navires et avions";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.15Z";"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.16Z";"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.17A";"Centrales d'achat alimentaires";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.17B";"Autres intermédiaires du commerce en denrées, boissons et tabac";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.18Z";"Intermédiaires spécialisés dans le commerce d'autres produits spécifiques";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.19A";"Centrales d'achat non alimentaires";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.19B";"Autres intermédiaires du commerce en produits divers";"425000";"Wholesale electronic markets and agents and brokers";"";3
"46.21Z";"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail";"424A00";"Other nondurable goods merchant wholesalers";"";3
"46.22Z";"Commerce de gros (commerce interentreprises) de fleurs et plantes";"424A00";"Other nondurable goods merchant wholesalers";"";3
"46.23Z";"Commerce de gros (commerce interentreprises) d'animaux vivants";"424A00";"Other nondurable goods merchant wholesalers";"";3
"46.24Z";"Commerce de gros (commerce interentreprises) de cuirs et peaux";"424A00";"Other nondurable goods merchant wholesalers";"";3
"46.31Z";"Commerce de gros (commerce interentreprises) de fruits et légumes";"424400";"Grocery and related product wholesalers";"";3
"46.32A";"Commerce de gros (commerce interentreprises) de viandes de boucherie";"424400";"Grocery and related product wholesalers";"";3
"46.32B";"Commerce de gros (commerce interentreprises) de produits à base de viande";"424400";"Grocery and related product wholesalers";"";3
"46.32C";"Commerce de gros (commerce interentreprises) de volailles et gibier";"424400";"Grocery and related product wholesalers";"";3
"46.33Z";"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles";"424400";"Grocery and related product wholesalers";"";3
"46.34Z";"Commerce de gros (commerce interentreprises) de boissons";"424400";"Grocery and related product wholesalers";"p";3
"46.34Z";"Commerce de gros (commerce interentreprises) de boissons";"424A00";"Other nondurable goods merchant wholesalers";"p";3
"46.35Z";"Commerce de gros (commerce interentreprises) de produits à base de tabac";"424400";"Grocery and related product wholesalers";"";3
"46.36Z";"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie";"424400";"Grocery and related product wholesalers";"";3
"46.37Z";"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices";"424400";"Grocery and related product wholesalers";"";3
"46.38A";"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques";"424400";"Grocery and related product wholesalers";"";3
"46.38B";"Commerce de gros (commerce interentreprises) alimentaire spécialisé divers";"424400";"Grocery and related product wholesalers";"";3
"46.39A";"Commerce de gros (commerce interentreprises) de produits surgelés";"424400";"Grocery and related product wholesalers";"";3
"46.39B";"Commerce de gros (commerce interentreprises) alimentaire non spécialisé";"424400";"Grocery and related product wholesalers";"";3
"46.41Z";"Commerce de gros (commerce interentreprises) de textiles";"424A00";"Other nondurable goods merchant wholesalers";"";3
"46.42Z";"Commerce de gros (commerce interentreprises) d'habillement et de chaussures";"424A00";"Other nondurable goods merchant wholesalers";"";3
"46.43Z";"Commerce de gros (commerce interentreprises) d'appareils électroménagers";"423600";"Household appliances and electrical and electronic goods";"";3
"46.44Z";"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien";"423A00";"Other durable goods merchant wholesalers";"";3
"46.45Z";"Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté";"424A00";"Other nondurable goods merchant wholesalers";"";3
"46.46Z";"Commerce de gros (commerce interentreprises) de produits pharmaceutiques";"424200";"Drugs and druggists' sundries";"";1
"46.47Z";"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage";"423600";"Household appliances and electrical and electronic goods";"";3
"46.47Z";"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage";"423A00";"Other durable goods merchant wholesalers";"";3
"46.48Z";"Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie";"424A00";"Other nondurable goods merchant wholesalers";"";3
"46.49Z";"Commerce de gros (commerce interentreprises) d'autres biens domestiques";"424A00";"Other nondurable goods merchant wholesalers";"";3
"46.51Z";"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels";"423400";"Professional and commercial equipment and supplies";"";3
"46.52Z";"Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication";"423600";"Household appliances and electrical and electronic goods";"";3
"46.61Z";"Commerce de gros (commerce interentreprises) de matériel agricole";"423800";"Machinery, equipment, and supplies";"";3
"46.62Z";"Commerce de gros (commerce interentreprises) de machines-outils";"423800";"Machinery, equipment, and supplies";"";3
"46.63Z";"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil";"423800";"Machinery, equipment, and supplies";"";3
"46.64Z";"Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement";"423800";"Machinery, equipment, and supplies";"";3
"46.65Z";"Commerce de gros (commerce interentreprises) de mobilier de bureau";"423A00";"Other durable goods merchant wholesalers";"";3
"46.66Z";"Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau";"423400";"Professional and commercial equipment and supplies";"";3
"46.69A";"Commerce de gros (commerce interentreprises) de matériel électrique";"423600";"Household appliances and electrical and electronic goods";"";3
"46.69B";"Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers";"423800";"Machinery, equipment, and supplies";"";3
"46.69C";"Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services";"423800";"Machinery, equipment, and supplies";"";3
"46.71Z";"Commerce de gros (commerce interentreprises) de combustibles et de produits annexes";"424700";"Petroleum and petroleum products";"";2
"46.72Z";"Commerce de gros (commerce interentreprises) de minerais et métaux";"423A00";"Other durable goods merchant wholesalers";"";3
"46.73A";"Commerce de gros (commerce interentreprises) de bois et de matériaux de construction";"423A00";"Other durable goods merchant wholesalers";"";3
"46.73B";"Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration";"423A00";"Other durable goods merchant wholesalers";"";3
"46.74A";"Commerce de gros (commerce interentreprises) de quincaillerie";"423A00";"Other durable goods merchant wholesalers";"";3
"46.74B";"Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage";"423A00";"Other durable goods merchant wholesalers";"";3
"46.75Z";"Commerce de gros (commerce interentreprises) de produits chimiques";"424A00";"Other nondurable goods merchant wholesalers";"";3
"46.76Z";"Commerce de gros (commerce interentreprises) d'autres produits intermédiaires";"424A00";"Other nondurable goods merchant wholesalers";"";3
