"eeio_model","country","code_ape_a732","aggregate","fpt","unit","year","accuracy_mapping_a732"
"EEIO_UK","FR","01.41Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.41Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.41Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.41Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.42Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.42Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.42Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.42Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.43Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.43Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.43Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.43Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.44Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.44Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.44Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.44Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.45Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.45Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.45Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.45Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.46Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.46Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.46Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.46Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.47Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.47Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.47Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.47Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.49Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.49Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.49Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.49Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.50Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.50Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.50Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.50Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.61Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.61Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.61Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.61Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.62Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.62Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.62Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.62Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.63Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.63Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.63Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.63Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.64Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.64Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.64Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.64Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.70Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.70Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.70Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.70Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.10Z","FD",120,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.10Z","GVA",109,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.10Z","IC",71,"GCO2E_EUR",2022,4
