"code_naf";"code_nafa";"libelle_nafa"
"4399D";"43.99D-A";"Installation de piscines de résidence et construction de piscines non couvertes"
"4399D";"43.99D-B";"Construction de cheminées et de fours industriels"
"4399D";"43.99D-C";"Autres travaux spéciaux de construction"
"4399E";"43.99E-Z";"Location avec opérateur de matériel de construction"
"4520A";"45.20A-A";"Réparation automobile de véhicules automobiles légers: entretien courant"
"4520A";"45.20A-B";"Réparation automobile de véhicules automobiles légers: mécanique"
"4520A";"45.20A-C";"Réparation automobile de véhicules automobiles légers: carrosserie"
"4520A";"45.20A-D";"Réparation automobile de véhicules automobiles légers: électricité, électronique"
"4520B";"45.20B-A";"Réparation automobile d'autres véhicules automobiles: entretien courant"
"4520B";"45.20B-B";"Réparation automobile d'autres véhicules automobiles: mécanique"
"4520B";"45.20B-C";"Réparation automobile d'autres véhicules automobiles: diesel"
"4520B";"45.20B-D";"Réparation automobile d'autres véhicules automobiles: carrosserie"
"4520B";"45.20B-E";"Réparation automobile d'autres véhicules automobiles: électricité, électronique"
"4540Z";"45.40Z-P";"Réparation de motocycles"
"4722Z";"47.22Z-A";"Boucherie"
"4722Z";"47.22Z-B";"Boucherie charcuterie"
"4722Z";"47.22Z-C";"Boucherie chevaline"
"4722Z";"47.22Z-D";"Volailles, gibiers"
"4722Z";"47.22Z-E";"Triperie"
"4723Z";"47.23Z-P";"Préparation de poissons, crustacés et mollusques"
"4729Z";"47.29Z-P";"Crémerie-fromagerie et préparations à base de lait ou de fromage"
"4776Z";"47.76Z-P";"Commerce de détail de fleurs"
"4781Z";"47.81Z-Q";"Boucherie sur éventaires et marchés"
"4781Z";"47.81Z-R";"Boucherie charcuterie sur éventaires et marchés"
"4781Z";"47.81Z-S";"Boucherie chevaline sur éventaires et marchés"
"4781Z";"47.81Z-T";"Volailles, gibiers sur éventaires et marchés"
"4781Z";"47.81Z-U";"Triperie sur éventaires et marchés"
"4781Z";"47.81Z-V";"Préparation de poissons, crustacés, mollusques sur éventaires, marchés"
"4781Z";"47.81Z-W";"Crémerie-fromagerie et préparations à base de lait ou de fromage sur éventaire, marchés"
"4789Z";"47.89Z-P";"Commerce de détail de fleurs sur éventaires et marchés"
"4932Z";"49.32Z-A";"Taxis"
"4932Z";"49.32Z-B";"Location de voitures avec chauffeur"
"4942Z";"49.42Z-Z";"Services de déménagement"
"5040Z";"50.40Z.Z";"Transports fluviaux de fret"
"5221Z";"52.21Z-P";"Assistance et remorquage de véhicules automobiles"
"5610A";"56.10A-P";"Fabrication culinaire artisanale de plats à consommer sur place"
"5610C";"56.10C-Q";"Fabrication artisanale associée à la vente de plats pour consommation immédiate en magasins sédentaires ou sur éventaire"
"5610C";"56.10C-R";"Fabrication artisanale associée à la vente de plats pour consommation immédiate en véhicules motorisés ou non"
"5819Z";"58.19Z-P";"Autres activités d'édition Edition d'imprimés fiduciaires, imprimés commerciaux, formulaires imprimés"
"7120A";"71.20A-Z";"Contrôle technique automobile"
"7311Z";"73.11Z-P";"Pose d'affiches, publicité aérienne, distribution de prospectus et d'échantillons publicitaires"
"7410Z";"74.10Z-P";"Conception de modèles pour étalages et décoration"
"7420Z";"74.20Z-Q";"Studio de photographie"
"7420Z";"74.20Z-R";"Portrait, reportage"
"7420Z";"74.20Z-S";"Photographie industrielle et publicitaire"
"7420Z";"74.20Z-T";"Laboratoires techniques de développement et de tirage"
"8020Z";"80.20Z-P";"Activité de surveillance et installation de systèmes d'alarme non dissociées"
"8121Z";"81.21Z-Z";"Nettoyage courant des bâtiments"
"8122Z";"81.22Z-Z";"Autres activités de nettoyage des bâtiments et nettoyage industriel"
"8129A";"81.29A-Z";"Désinfection, désinsectisation, dératisation"
"8129B";"81.29B-P";"Autres services de nettoyage"
"8211Z";"82.11Z-P";"Services administratifs divers"
"8219Z";"82.19Z-P";"Travaux à façon divers:"
"8292Z";"82.92Z-Z";"Activités de conditionnement"
"8690A";"86.90A-Z";"Ambulances"
"9001Z";"90.01Z-P";"Spectacles de marionnettes"
"9003A";"90.03A-P";"Restauration d'objets d'art"
"9511Z";"95.11Z-Z";"Réparation d'ordinateurs et d'équipements périphériques"
"9512Z";"95.12Z-Z";"Réparation d'équipements de communication"
"9521Z";"95.21Z-Z";"Réparation de produits électroniques grand public"
"9522Z";"95.22Z-A";"Réparation de tondeuses à gazon"
"9522Z";"95.22Z-B";"Réparation d'appareils électroménagers"
"9523Z";"95.23Z-Z";"Réparation de chaussures et d'articles en cuir"
"9524Z";"95.24Z-Z";"Réparation de meubles et d'équipements du foyer"
"9525Z";"95.25Z-Z";"Réparation d'articles d'horlogerie et de bijouterie"
"9529Z";"95.29Z-A";"Aiguisage de coutellerie"
"9529Z";"95.29Z-B";"Réparation de cycles"
"9529Z";"95.29Z-C";"Atelier de retouches"
"9529Z";"95.29Z-D";"Réparation d'articles de sport et de campement"
"9529Z";"95.29Z-E";"Accordeurs de piano et restauration d'autres instruments de musique"
"9529Z";"95.29Z-F";"Réparation non classées ailleurs"
"9601A";"96.01A-Z";"Blanchisserie-teinturerie de gros"
"9601B";"96.01B-Q";"Laveries, blanchisserie et teintureries de détail"
"9601B";"96.01B-R";"Pressings"
"9602A";"96.02A-A";"Coiffure en salon"
"9602A";"96.02A-B";"Coiffure hors salons"
"9602B";"96.02B-A";"Soins de beauté en salon"
"9602B";"96.02B-B";"Soins de beauté hors salon"
"9603Z";"96.03Z-P";"Embaumement, soins mortuaires"
"9609Z";"96.09Z-P";"Toilettage d'animaux de compagnie"
