"code_naf";"code_nafa";"libelle_nafa"
"2017Z";"20.17Z-Z";"Fabrication de caoutchouc synthétique"
"2020Z";"20.20Z-Z";"Fabrication de pesticides et d'autres produits agrochimiques"
"2030Z";"20.30Z-Z";"Fabrication de peintures, vernis, encres et mastics"
"2041Z";"20.41Z-Z";"Fabrication de savons, détergents et produits d'entretien"
"2042Z";"20.42Z-Z";"Fabrication de parfums et de produits pour la toilette"
"2051Z";"20.51Z-Z";"Fabrication de produits explosifs"
"2052Z";"20.52Z-Z";"Fabrication de colles"
"2053Z";"20.53Z-Z";"Fabrication d'huiles essentielles"
"2059Z";"20.59Z-Z";"Fabrication d'autres produits chimiques n.c.a."
"2060Z";"20.60Z-Z";"Fabrication de fibres artificielles ou synthétiques"
"2110Z";"21.10Z-P";"Fabrication d'édulcorants de synthèse"
"2120Z";"21.20Z-P";"Fabrication de substances radioactives de diagnostic et de pansements"
"2211Z";"22.11Z-Z";"Fabrication et rechapage de pneumatiques"
"2219Z";"22.19Z-Z";"Fabrication d'autres articles en caoutchouc"
"2221Z";"22.21Z-Z";"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
"2222Z";"22.22Z-Z";"Fabrication d'emballages en matières plastiques"
"2223Z";"22.23Z-Z";"Fabrication d'éléments en matières plastiques pour la construction"
"2229A";"22.29A-Z";"Fabrication de pièces techniques à base de matières plastiques"
"2229B";"22.29B-Z";"Fabrication d'éléments divers en matières plastiques"
"2311Z";"23.11Z-Z";"Fabrication de verre plat"
"2312Z";"23.12Z-Z";"Façonnage et transformation du verre plat"
"2313Z";"23.13Z-A";"Fabrication de verre creux ou autres verres"
"2313Z";"23.13Z-B";"Soufflage de verre"
"2313Z";"23.13Z-C";"Façonnage de verre et de cristal"
"2314Z";"23.14Z-Z";"Fabrication de fibres de verre"
"2319Z";"23.19Z-A";"Fabrication de vitraux"
"2319Z";"23.19Z-B";"Fabrication d'articles techniques en verre"
"2320Z";"23.20Z-Z";"Fabrication de produits réfractaires"
"2331Z";"23.31Z-Z";"Fabrication de carreaux en céramique"
"2332Z";"23.32Z-A";"Fabrication de briques"
"2332Z";"23.32Z-B";"Fabrication de tuiles"
"2332Z";"23.32Z-C";"Fabrication de produits divers en terre cuite"
"2341Z";"23.41Z-Z";"Fabrication d'articles céramiques à usage domestique ou ornemental"
"2342Z";"23.42Z-Z";"Fabrication d'appareils sanitaires en céramique"
"2343Z";"23.43Z-Z";"Fabrication d'isolateurs et pièces isolantes en céramique"
"2344Z";"23.44Z-Z";"Fabrication d'autres produits céramiques à usage technique"
"2349Z";"23.49Z-Z";"Fabrication d'autres produits céramiques"
"2351Z";"23.51Z-Z";"Fabrication de ciment céramiques"
"2352Z";"23.52Z-Z";"Fabrication de chaux et plâtre."
"2361Z";"23.61Z-Z";"Fabrication d'éléments en béton pour la construction"
"2362Z";"23.62Z-Z";"Fabrication d'éléments en plâtre pour la construction"
"2363Z";"23.63Z-Z";"Fabrication de béton prêt à l'emploi"
"2364Z";"23.64Z-Z";"Fabrication de mortiers et bétons secs"
"2365Z";"23.65Z-Z";"Fabrication d'ouvrages en fibre-ciment"
"2369Z";"23.69Z-A";"Fabrication de cheminée décoratives"
"2369Z";"23.69Z-B";"Fabrication d'éléments décoratifs en béton ou en plâtre"
"2370Z";"23.70Z-Z";"Taille, façonnage et finissage de pierres"
"2391Z";"23.91Z-Z";"Fabrication de produits abrasifs"
"2391Z";"23.99Z-Z";"Fabrication d'autres produits minéraux non métalliques n.c.a."
"2410Z";"24.10Z-Z";"Sidérurgie"
"2420Z";"24.20Z-Z";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
"2431Z";"24.31Z-Z";"Etirage à froid de barres"
"2432Z";"24.32Z-Z";"Laminage à froid de feuillards"
"2433Z";"24.33Z-Z";"Profilage à froid par formage ou pliage"
"2434Z";"24.34Z-Z";"Tréfilage à froid"
"2441Z";"24.41Z-Z";"Production de métaux précieux"
"2442Z";"24.42Z-A";"Production d'aluminium"
"2442Z";"24.42Z-B";"Première transformation de l'aluminium"
"2443Z";"24.43Z-Z";"Métallurgie du plomb, du zinc ou de l'étain"
"2444Z";"24.44Z-Z";"Métallurgie du cuivre"
"2445Z";"24.45Z-Z";"Métallurgie des autres métaux non ferreux"
"2446Z";"24.46Z-Z";"Elaboration et transformation de matières nucléaires"
