PRODCOM Code	PRODCOM Label	Tonnage	CAS No. RefSub	Name RefSub	ENV C&L	Class ENV	HH C&L	Class HH
20141490	Derivatives of hydrocarbons (excluding those containing only sulpho groups; their salts and ethyl esters, those containing only nitro or only nitroso groups)	 800 000 	100-00-5	1-chloro-4-nitrobenzene 	411	B	351	B
20143320	Esters of acrylic acid	 738 404 	140-88-5	Ethyl acrylate	412	C	317	B
20142320	Propylene glycol (propane-1,2-diol)	 732 501 	57-55-6	Propane-1,2-diol	nc	0	nc	0
20141213	Cyclohexane	 732 209 	110-82-7	Cyclohexane	400, 410	A	304	E
20142265	Lauryl alcohol; cetyl alcohol; stearyl alcohol and other saturated monohydric alcohols (excluding methyl, propyl and isopropyl, n-butyl, other butanols, octyl)	 720 000 	112-53-8	Dodecan-1-ol	400, 411	B	319	E
20142360	Glycerol (including synthetic; excluding crude, waters and lyes)	 686 517 	56-81-5	Glycerol	nc	0	nc	0
20142230	Butan-1-ol (n-butyl alcohol)	 670 065 	71-36-3	Butan-1-ol	nc	0	318	D
20144350	Acrylonitrile	 668 754 	107-13-1	Acrylonitrile	411	B	350	A
20142263	Octanol (octyl alcohol) and isomers thereof	 661 391 	104-76-7	2-Ethylhexanol	nc	0	315	E
20146115	Butanal (butyraldehyde; normal isomer)	 651 215 	123-72-8	Butyraldehyde	nc	0	319	E
20153580	Mixtures of ammonium nitrate with calcium carbonate, > 28 % nitrogen by weight; IM/EXPORTS not responsible for difference	 650 000 	6484-52-2	Ammonium nitrate	nc	0	319	E
20132475	Silicon dioxide	 645 361 	7631-86-9	Silicon dioxide	nc	0	nc	0
20143420	Other esters of orthophthalic acid	 634 242 	68515-48-0	Di-''isononyl'' phthalate	nc	0	nc	0
20145260	Melamine	 627 357 	108-78-1	Melamine	nc	0	nc	0
20111250	Sulphur trioxide (sulphuric anhydride); diarsenic trioxide	 600 000 	7446-11-9	Sulphur trioxide 	nc	0	314 (1A)	C
20132460	Oxides of boron; boric acids; inorganic acids (excluding hydrogen fluoride)	 600 000 	10043-35-3	Boric acid	nc	0	360	A
20143385	Adipic acid; its salts and esters	 600 000 	124-04-9	Adipic acid	nc	0	318	D
20134390	Other carbonates	 586 922 	584-08-7	Potassium carbonate	nc	0	315	E
20145133	Thiocarbamates and dithiocarbamates; thiuram mono-, di- or tetrasulphides; methionine	 586 155 	128-04-1	Sodium dimethyldithiocarbamate	400, 411	B	nc	0
