PRODCOM Code	PRODCOM Label	Tonnage	CAS No. RefSub	Name RefSub	ENV C&L	Class ENV	HH C&L	Class HH
20157300	Ammonium dihydrogenorthophosphate (monoammonium phosphate)	 255 209 	7722-76-1	Ammonium dihydrogenorthophosphate	nc	0	nc	0
20145380	Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives	 246 715 	77-78-1	Dimethyl sulphate	nc	0	350	A
20146213	Butanone (methyl ethyl ketone)	 245 445 	78-93-3	Butanone	nc	0	319	E
20143410	Dibutyl and dioctyl orthophthalates	 243 646 	117-81-7	Bis(2-ethylhexyl) phthalate	400	E	360	A
20144233	Monoethanolamine and its salts	 242 972 	141-43-5	2-aminoethanol	412	C	314 (1B)	D
20122150	Other synthetic organic colouring matters	 242 337 	147-14-8	29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32 copper	nc	0	nc	0
20134110	Sulphides; polysulphides, whether or not chemically defined; dithionites and sulphoxylates	 241 423 	1314-98-3	Zins sulphide	nc	0	nc	0
20144430	Organic derivatives of hydrazine or of hydroxylamine	 240 000 	3710-84-7	N,N-diethylhydroxylamine	411	B	335	E
20122419	Pigments and preparations based on titanium dioxide (excluding those containing ≥ 80 % by weight of titanium dioxide)	 239 907 	13463-67-7	Titanium dioxide	nc	0	nc	0
20143383	Oxalic, azelaic, malonic, other, cyclanic, cylenic or cycloterpenic polycarboxylic acids, salts	 237 765 	144-62-7	Oxalic acid	nc	0	318	D
20133150	Chloride oxides and chloride hydroxides of copper and other metals	 217 373 	12042-91-0	Dialuminium chloride pentahydroxide	nc	0	nc	0
20144119	Other acylic monoamines and their derivatives; salts thereof	 216 272 	107-15-3	Ethylenediamine	412	C	317	B
20141313	Chloromethane (methyl chloride) and chloroethane (ethyl chloride)	 210 000 	74-87-3	Chloromethane	nc	0	351	B
20144239	Amino-alcohols, their ethers and esters with only 1 oxygen func-tion and their salts (excluding monoethanolamine and its salts, di-etha¬nolamine and its salts, triethanolamine and its salts)	 203 605 	108-01-0	2-dimethylaminoethanol	nc	0	318	D
20141315	Dichloromethane (methylene chloride)	 200 000 	75-09-2	Dichloromethane	nc	0	351	B
20141357	Saturated chlorinated derivatives of acyclic hydrocarbons, n.e.c.	 193 012 	540-54-5	1-Chloropropane	nc	0	302, 332	E
20143235	Palmitic acid, stearic acid, their salts and esters	 191 459 	57-11-4	Stearic aicd	nc	0	nc	0
20134270	Sodium triphosphate (sodium tripolyphosphate)	 189 761 	7758-29-4	Pentasodium triphosphate	nc	0	nc	0
20136220	Cyanides; cyanide oxides and complex cyanides	 175 488 	143-33-9	Sodium cyanide	400, 410	A	372	C
20143363	Benzoic acid; its salts and esters	 170 000 	65-85-0	Benzoic acid	nc	0	372	C
20142270	Unsaturated monohydric alcohols	 162 051 	107-18-6	Allyl alcohol	400, 412	C	361	B
20141374	Trichloroethylene; tetrachloroethylene (perchloroethylene)	 158 217 	127-18-4	Tetrachloroethylene	411	B	351	B
20132237	Halides and halide-oxides of non-metals (excluding chlorides and chloride oxides of phosphorus)	 155 200 	2551-62-4	Sulphur hexafluoride	nc	0	nc	0
20134240	Calcium hydrogenorthophosphate (dicalcium phosphate)	 154 532 	7757-93-9	Calcium hydrogenorthophosphate	nc	0	nc	0
20141323	Chloroform (trichloromethane)	 152 399 	67-66-3	Chloroform	nc	0	351	B
20143130	Industrial oleic acid	 150 000 	112-80-1	Oleic acid	nc	0	nc	0
20145290	Nucleic acids and other heterocyclic compounds - thiazole, benzothiazole, other cycles	 150 000 	2492-26-4	Sodium benzothiazol-2-yl sulphide	400, 410	A	317	B
20141215	Cyclanes; cyclenes and cycloterpenes (excluding cyclohexane)	 147 440 	77-73-6	3a,4,7,7a-tetrahydro-4,7-methanoindene	400, 411	B	361	B
20132560	Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides of strontium or barium	 141 421 	1309-42-8	Magnesium hydroxide	nc	0	nc	0
20143150	Industrial tall oil fatty acids	 138 681 	65997-03-7	Fatty acids, tall-oil, low-boiling	nc	0	nc	0
20152080	Nitrites	 131 329 	7632-00-0	Sodium nitrite	400	E	301	D
20144129	Other acyclic polyamines and their derivatives; salts thereof	 131 076 	111-40-0	2,2'-iminodi(ethylamine) 	nc	0	317	B
20132260	Sulphides of non-metals; commercial phosphorus trisulphide	 130 805 	16721-80-5	Sodium hydrogensulphide	400	E	314 (1B), 318	D
20146160	Paraformaldehyde	 127 010 	30525-89-4	Paraformaldehyde	nc	0	317	B
20134230	Phosphates of mono- or di-sodium	 122 367 	7758-16-9	Disodium dihydrogenpyrophosphate	nc	0	319	E
20122160	Synthetic organic products used as fluorescent brightening agents	 120 000 	16470-24-9	Tetrasodium 4,4'-bis[[4-[bis(2-hy-dro¬xyethyl)amino]-6-(4-sul¬pho¬na-to¬anilino)-1,3,5-triazin-2-yl]ami-no]stilbene-2,2'-disulphonate]	nc	0	nc	0
20143277	Acetic anhydride	 120 000 	108-24-7	Acetic anhydride	nc	0	314 (1B), 330, 331	D
20144159	Other aromatic monoamines and their derivatives; salts thereof	 115 837 	122-39-4	Diphenylamine	400, 410	A	373	D
20143387	Maleic anhydride	 108 215 	108-31-6	Maleic anhydride	nc	0	317	B
20156000	Sodium nitrate	 105 447 	7631-99-4	Sodium nitrate	nc	0	319	E
20132235	Chlorides and chloride oxides of phosphorus	 105 000 	10025-87-3	Phosphoryl trichloride	nc	0	314 (1A)	C
20143350	Oleic, linoleic or linolenic acids; their salts and esters	 100 000 	25496-72-4	Glyceryl monooleate	nc	0	nc	0
20146113	Ethanal (acetaldehyde)	 100 000 	75-07-0	Acetaldehyde	nc	0	351	B
20147170	Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers’ pitch and similar preparations based on rosin, resin acids or on vegetable pitch	 99 686 	91722-33-7	Tar, wood	412	C	317	B
20143330	Methacrylic acid and its salts	 90 000 	79-41-4	Methacrylic acid	nc	0	314 (1A)	C
20144130	Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof	 90 000 	2855-13-2	3-aminomethyl-3,5,5-trimethylcyclohexylamine	412	C	317	B
20146231	Camphor; aromatic ketones without other oxygen function; ketone-alcohols; ketone-aldehydes; ketone-phenols and ketones with other oxygen function	 82 484 	123-42-2	4-hydroxy-4-methylpentan-2-one	nc	0	319	E
20111270	Nitrogen oxides	 79 667 	10024-97-2	Dinitrogen oxide	nc	0	336	E
20146333	2,2-Oxydiethanol (diethylene glycol; digol)	 78 307 	111-46-6	2,2'-oxydiethanol	nc	E	373	D
20142240	Butanols (excluding butan-1-ol (n-butyl alcohol))	 76 619 	75-65-0	2-methylpropan-2-ol	nc	0	319	E
20144237	Triethanolamine and its salts	 74 221 	102-71-6	2,2',2''-nitrilotriethanol	nc	0	nc	0
20134210	Nitrates (excluding those of potassium)	 68 301 	10124-37-5	Calcium nitrate	nc	0	318	D
20143278	Salts of acetic acid	 60 693 	51404-69-4	Acetic acid, lead salt, basic	410	A	360	A
20134175	Peroxosulphates (persulphates)	 60 000 	7727-54-0	Diammonium peroxodisulphate	nc	0	317	B
